orgunitlevel2,orgunitlevel3,organisationunitname,organisationunitid,Eth_Month_Year,Travel,Positive,Tests,Positivity_Rate
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Ginbot 2017,39.0,173.0,1217.0,14.203612479474547
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Hamle 2016,18.0,268.0,1365.0,19.619326500732065
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Hidar 2017,37.0,395.0,2000.0,19.74012993503248
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Megabit 2017,51.0,144.0,1358.0,10.596026490066226
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Meskerem 2017,15.0,234.0,1638.0,14.27699816961562
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Miazia 2017,15.0,138.0,1237.0,11.147011308562197
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Nehase 2016,24.0,200.0,1594.0,12.539184952978054
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Sene 2017,51.0,167.0,1087.0,15.349264705882353
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Tahesas 2017,24.0,311.0,1526.0,20.36673215455141
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Tikemet 2017,74.0,521.0,2266.0,22.981914424349362
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Tir 2017,56.0,199.0,1292.0,15.390564578499614
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Yekatit 2017,29.0,166.0,1356.0,12.232866617538688
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Ginbot 2017,22.0,116.0,1033.0,11.218568665377177
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Hamle 2016,21.0,271.0,1246.0,21.732157177225343
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Hidar 2017,94.0,318.0,1697.0,18.727915194346288
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Megabit 2017,14.0,109.0,1008.0,10.802775024777008
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Meskerem 2017,41.0,253.0,1878.0,13.46460883448643
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Miazia 2017,30.0,114.0,1141.0,9.98248686514886
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Nehase 2016,38.0,203.0,1483.0,13.679245283018867
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Sene 2017,21.0,99.0,697.0,14.183381088825215
