orgunitlevel2,orgunitlevel3,organisationunitname,organisationunitid,Eth_Month_Year,Travel,Positive,Tests,Positivity_Rate
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Tahesas 2017,78.0,295.0,1699.0,17.352941176470587
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Tikemet 2017,145.0,417.0,1964.0,21.22137404580153
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Tir 2017,68.0,173.0,1103.0,15.670289855072465
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Yekatit 2017,11.0,119.0,1111.0,10.701438848920864
Addis Ababa City Administration,Arada Sub City,Arada Sub City,ZDlhLE4uVcy,Ginbot 2017,48.0,104.0,457.0,22.707423580786028
Addis Ababa City Administration,Arada Sub City,Arada Sub City,ZDlhLE4uVcy,Hamle 2016,6.0,124.0,536.0,23.09124767225326
Addis Ababa City Administration,Arada Sub City,Arada Sub City,ZDlhLE4uVcy,Hidar 2017,40.0,126.0,683.0,18.421052631578945
Addis Ababa City Administration,Arada Sub City,Arada Sub City,ZDlhLE4uVcy,Megabit 2017,25.0,64.0,481.0,13.278008298755188
Addis Ababa City Administration,Arada Sub City,Arada Sub City,ZDlhLE4uVcy,Meskerem 2017,25.0,119.0,590.0,20.135363790186126
Addis Ababa City Administration,Arada Sub City,Arada Sub City,ZDlhLE4uVcy,Miazia 2017,23.0,66.0,316.0,20.82018927444795
Addis Ababa City Administration,Arada Sub City,Arada Sub City,ZDlhLE4uVcy,Nehase 2016,13.0,119.0,461.0,25.757575757575758
Addis Ababa City Administration,Arada Sub City,Arada Sub City,ZDlhLE4uVcy,Sene 2017,31.0,67.0,405.0,16.502463054187192
Addis Ababa City Administration,Arada Sub City,Arada Sub City,ZDlhLE4uVcy,Tahesas 2017,24.0,111.0,478.0,23.173277661795407
Addis Ababa City Administration,Arada Sub City,Arada Sub City,ZDlhLE4uVcy,Tikemet 2017,47.0,239.0,729.0,32.73972602739726
Addis Ababa City Administration,Arada Sub City,Arada Sub City,ZDlhLE4uVcy,Tir 2017,26.0,72.0,455.0,15.789473684210526
Addis Ababa City Administration,Arada Sub City,Arada Sub City,ZDlhLE4uVcy,Yekatit 2017,19.0,47.0,432.0,10.854503464203233
Addis Ababa City Administration,Bole Sub City,Bole Sub City,Bqq3KNXFksZ,Ginbot 2017,41.0,170.0,997.0,17.034068136272545
Addis Ababa City Administration,Bole Sub City,Bole Sub City,Bqq3KNXFksZ,Hamle 2016,4.0,202.0,691.0,29.190751445086704
Addis Ababa City Administration,Bole Sub City,Bole Sub City,Bqq3KNXFksZ,Hidar 2017,165.0,317.0,1230.0,25.751421608448418
Addis Ababa City Administration,Bole Sub City,Bole Sub City,Bqq3KNXFksZ,Megabit 2017,22.0,120.0,852.0,14.06799531066823
Addis Ababa City Administration,Bole Sub City,Bole Sub City,Bqq3KNXFksZ,Meskerem 2017,38.0,200.0,1023.0,19.53125
Addis Ababa City Administration,Bole Sub City,Bole Sub City,Bqq3KNXFksZ,Miazia 2017,21.0,109.0,787.0,13.83248730964467
Addis Ababa City Administration,Bole Sub City,Bole Sub City,Bqq3KNXFksZ,Nehase 2016,28.0,159.0,933.0,17.02355460385439
Addis Ababa City Administration,Bole Sub City,Bole Sub City,Bqq3KNXFksZ,Sene 2017,73.0,167.0,1067.0,15.636704119850187
Addis Ababa City Administration,Bole Sub City,Bole Sub City,Bqq3KNXFksZ,Tahesas 2017,42.0,171.0,823.0,20.75242718446602
Addis Ababa City Administration,Bole Sub City,Bole Sub City,Bqq3KNXFksZ,Tikemet 2017,178.0,334.0,1210.0,27.580511973575554
Addis Ababa City Administration,Bole Sub City,Bole Sub City,Bqq3KNXFksZ,Tir 2017,9.0,165.0,710.0,23.20675105485232
Addis Ababa City Administration,Bole Sub City,Bole Sub City,Bqq3KNXFksZ,Yekatit 2017,31.0,137.0,1150.0,11.902693310165075
Addis Ababa City Administration,Gulele Sub City,Gulele Sub City,fP7LbnZr3ef,Ginbot 2017,22.0,79.0,248.0,31.72690763052209
Addis Ababa City Administration,Gulele Sub City,Gulele Sub City,fP7LbnZr3ef,Hamle 2016,34.0,106.0,305.0,34.64052287581699
Addis Ababa City Administration,Gulele Sub City,Gulele Sub City,fP7LbnZr3ef,Hidar 2017,7.0,133.0,456.0,29.10284463894967
Addis Ababa City Administration,Gulele Sub City,Gulele Sub City,fP7LbnZr3ef,Megabit 2017,34.0,73.0,285.0,25.524475524475527
Addis Ababa City Administration,Gulele Sub City,Gulele Sub City,fP7LbnZr3ef,Meskerem 2017,22.0,107.0,367.0,29.076086956521742
Addis Ababa City Administration,Gulele Sub City,Gulele Sub City,fP7LbnZr3ef,Miazia 2017,21.0,68.0,303.0,22.36842105263158
Addis Ababa City Administration,Gulele Sub City,Gulele Sub City,fP7LbnZr3ef,Nehase 2016,26.0,81.0,374.0,21.6
Addis Ababa City Administration,Gulele Sub City,Gulele Sub City,fP7LbnZr3ef,Sene 2017,7.0,65.0,226.0,28.634361233480178
Addis Ababa City Administration,Gulele Sub City,Gulele Sub City,fP7LbnZr3ef,Tahesas 2017,19.0,88.0,322.0,27.24458204334365
Addis Ababa City Administration,Gulele Sub City,Gulele Sub City,fP7LbnZr3ef,Tikemet 2017,56.0,206.0,478.0,43.0062630480167
Addis Ababa City Administration,Gulele Sub City,Gulele Sub City,fP7LbnZr3ef,Tir 2017,17.0,69.0,261.0,26.33587786259542
Addis Ababa City Administration,Gulele Sub City,Gulele Sub City,fP7LbnZr3ef,Yekatit 2017,23.0,85.0,301.0,28.14569536423841
Addis Ababa City Administration,Kirkos Sub City,Kirkos Sub City,aeTzP0ST2hq,Ginbot 2017,13.0,62.0,780.0,7.93854033290653
Addis Ababa City Administration,Kirkos Sub City,Kirkos Sub City,aeTzP0ST2hq,Hamle 2016,0.0,138.0,871.0,15.825688073394495
Addis Ababa City Administration,Kirkos Sub City,Kirkos Sub City,aeTzP0ST2hq,Hidar 2017,12.0,145.0,1128.0,12.843224092116918
Addis Ababa City Administration,Kirkos Sub City,Kirkos Sub City,aeTzP0ST2hq,Megabit 2017,12.0,58.0,804.0,7.204968944099378
Addis Ababa City Administration,Kirkos Sub City,Kirkos Sub City,aeTzP0ST2hq,Meskerem 2017,11.0,185.0,1172.0,15.77152600170503
Addis Ababa City Administration,Kirkos Sub City,Kirkos Sub City,aeTzP0ST2hq,Miazia 2017,3.0,54.0,801.0,6.733167082294264
Addis Ababa City Administration,Kirkos Sub City,Kirkos Sub City,aeTzP0ST2hq,Nehase 2016,5.0,135.0,1227.0,10.993485342019543
Addis Ababa City Administration,Kirkos Sub City,Kirkos Sub City,aeTzP0ST2hq,Sene 2017,6.0,65.0,653.0,9.938837920489297
Addis Ababa City Administration,Kirkos Sub City,Kirkos Sub City,aeTzP0ST2hq,Tahesas 2017,1.0,119.0,874.0,13.600000000000001
Addis Ababa City Administration,Kirkos Sub City,Kirkos Sub City,aeTzP0ST2hq,Tikemet 2017,3.0,250.0,1273.0,19.623233908948194
Addis Ababa City Administration,Kirkos Sub City,Kirkos Sub City,aeTzP0ST2hq,Tir 2017,11.0,85.0,699.0,12.142857142857142
Addis Ababa City Administration,Kirkos Sub City,Kirkos Sub City,aeTzP0ST2hq,Yekatit 2017,2.0,55.0,761.0,7.217847769028872
Addis Ababa City Administration,Kolfe Subcity,Kolfe Subcity,R6nsx1xB8wq,Ginbot 2017,39.0,117.0,617.0,18.932038834951456
Addis Ababa City Administration,Kolfe Subcity,Kolfe Subcity,R6nsx1xB8wq,Hamle 2016,18.0,179.0,900.0,19.866814650388456
Addis Ababa City Administration,Kolfe Subcity,Kolfe Subcity,R6nsx1xB8wq,Hidar 2017,19.0,208.0,1182.0,17.582417582417584
Addis Ababa City Administration,Kolfe Subcity,Kolfe Subcity,R6nsx1xB8wq,Megabit 2017,3.0,58.0,749.0,7.733333333333333
Addis Ababa City Administration,Kolfe Subcity,Kolfe Subcity,R6nsx1xB8wq,Meskerem 2017,3.0,176.0,1152.0,15.264527320034693
Addis Ababa City Administration,Kolfe Subcity,Kolfe Subcity,R6nsx1xB8wq,Miazia 2017,27.0,99.0,701.0,14.102564102564102
Addis Ababa City Administration,Kolfe Subcity,Kolfe Subcity,R6nsx1xB8wq,Nehase 2016,0.0,147.0,1227.0,11.970684039087947
Addis Ababa City Administration,Kolfe Subcity,Kolfe Subcity,R6nsx1xB8wq,Sene 2017,7.0,76.0,740.0,10.256410256410255
Addis Ababa City Administration,Kolfe Subcity,Kolfe Subcity,R6nsx1xB8wq,Tahesas 2017,43.0,141.0,995.0,14.156626506024098
Addis Ababa City Administration,Kolfe Subcity,Kolfe Subcity,R6nsx1xB8wq,Tikemet 2017,18.0,319.0,1257.0,25.357710651828295
Addis Ababa City Administration,Kolfe Subcity,Kolfe Subcity,R6nsx1xB8wq,Tir 2017,35.0,85.0,771.0,11.010362694300518
Addis Ababa City Administration,Kolfe Subcity,Kolfe Subcity,R6nsx1xB8wq,Yekatit 2017,37.0,88.0,706.0,12.446958981612447
Addis Ababa City Administration,Lemi Kura Sub City,Lemi Kura Sub City,j59J2d3Ym3C,Ginbot 2017,52.0,132.0,1091.0,12.087912087912088
Addis Ababa City Administration,Lemi Kura Sub City,Lemi Kura Sub City,j59J2d3Ym3C,Hamle 2016,17.0,248.0,1449.0,17.103448275862068
Addis Ababa City Administration,Lemi Kura Sub City,Lemi Kura Sub City,j59J2d3Ym3C,Hidar 2017,47.0,289.0,1533.0,18.839634941329855
Addis Ababa City Administration,Lemi Kura Sub City,Lemi Kura Sub City,j59J2d3Ym3C,Megabit 2017,93.0,171.0,1235.0,13.834951456310678
Addis Ababa City Administration,Lemi Kura Sub City,Lemi Kura Sub City,j59J2d3Ym3C,Meskerem 2017,30.0,161.0,1446.0,11.126468555632343
Addis Ababa City Administration,Lemi Kura Sub City,Lemi Kura Sub City,j59J2d3Ym3C,Miazia 2017,56.0,145.0,1166.0,12.425021422450728
Addis Ababa City Administration,Lemi Kura Sub City,Lemi Kura Sub City,j59J2d3Ym3C,Nehase 2016,15.0,201.0,1688.0,11.900532859680284
Addis Ababa City Administration,Lemi Kura Sub City,Lemi Kura Sub City,j59J2d3Ym3C,Sene 2017,36.0,193.0,1168.0,16.5098374679213
Addis Ababa City Administration,Lemi Kura Sub City,Lemi Kura Sub City,j59J2d3Ym3C,Tahesas 2017,53.0,268.0,1205.0,22.22222222222222
Addis Ababa City Administration,Lemi Kura Sub City,Lemi Kura Sub City,j59J2d3Ym3C,Tikemet 2017,37.0,340.0,1546.0,21.978021978021978
Addis Ababa City Administration,Lemi Kura Sub City,Lemi Kura Sub City,j59J2d3Ym3C,Tir 2017,90.0,225.0,1315.0,17.09726443768997
Addis Ababa City Administration,Lemi Kura Sub City,Lemi Kura Sub City,j59J2d3Ym3C,Yekatit 2017,72.0,131.0,1193.0,10.971524288107203
Addis Ababa City Administration,Lideta Sub City,Lideta Sub City,veWjz5L6CYU,Ginbot 2017,0.0,57.0,399.0,14.249999999999998
Addis Ababa City Administration,Lideta Sub City,Lideta Sub City,veWjz5L6CYU,Hamle 2016,10.0,70.0,429.0,16.27906976744186
Addis Ababa City Administration,Lideta Sub City,Lideta Sub City,veWjz5L6CYU,Hidar 2017,7.0,144.0,628.0,22.89348171701113
Addis Ababa City Administration,Lideta Sub City,Lideta Sub City,veWjz5L6CYU,Megabit 2017,0.0,57.0,463.0,12.284482758620689
Addis Ababa City Administration,Lideta Sub City,Lideta Sub City,veWjz5L6CYU,Meskerem 2017,15.0,90.0,518.0,17.341040462427745
Addis Ababa City Administration,Lideta Sub City,Lideta Sub City,veWjz5L6CYU,Miazia 2017,0.0,57.0,383.0,14.84375
Addis Ababa City Administration,Lideta Sub City,Lideta Sub City,veWjz5L6CYU,Nehase 2016,0.0,48.0,428.0,11.188811188811188
Addis Ababa City Administration,Lideta Sub City,Lideta Sub City,veWjz5L6CYU,Sene 2017,6.0,48.0,333.0,14.37125748502994
Addis Ababa City Administration,Lideta Sub City,Lideta Sub City,veWjz5L6CYU,Tahesas 2017,15.0,98.0,590.0,16.58206429780034
Addis Ababa City Administration,Lideta Sub City,Lideta Sub City,veWjz5L6CYU,Tikemet 2017,7.0,170.0,593.0,28.619528619528616
Addis Ababa City Administration,Lideta Sub City,Lideta Sub City,veWjz5L6CYU,Tir 2017,19.0,93.0,689.0,13.478260869565217
Addis Ababa City Administration,Lideta Sub City,Lideta Sub City,veWjz5L6CYU,Yekatit 2017,0.0,60.0,419.0,14.285714285714285
Addis Ababa City Administration,Nifas Silk Lafto Sub City,Nifas Silk Lafto Sub City,smjdej6f9a2,Ginbot 2017,111.0,165.0,978.0,16.853932584269664
Addis Ababa City Administration,Nifas Silk Lafto Sub City,Nifas Silk Lafto Sub City,smjdej6f9a2,Hamle 2016,19.0,204.0,768.0,26.527958387516254
Addis Ababa City Administration,Nifas Silk Lafto Sub City,Nifas Silk Lafto Sub City,smjdej6f9a2,Hidar 2017,47.0,321.0,1215.0,26.398026315789476
Addis Ababa City Administration,Nifas Silk Lafto Sub City,Nifas Silk Lafto Sub City,smjdej6f9a2,Megabit 2017,97.0,148.0,1272.0,11.626080125687354
Addis Ababa City Administration,Nifas Silk Lafto Sub City,Nifas Silk Lafto Sub City,smjdej6f9a2,Meskerem 2017,26.0,197.0,1002.0,19.641076769690926
Addis Ababa City Administration,Nifas Silk Lafto Sub City,Nifas Silk Lafto Sub City,smjdej6f9a2,Miazia 2017,74.0,142.0,980.0,14.475025484199797
Addis Ababa City Administration,Nifas Silk Lafto Sub City,Nifas Silk Lafto Sub City,smjdej6f9a2,Nehase 2016,37.0,201.0,1112.0,18.059299191374663
Addis Ababa City Administration,Nifas Silk Lafto Sub City,Nifas Silk Lafto Sub City,smjdej6f9a2,Sene 2017,78.0,187.0,881.0,21.201814058956916
Addis Ababa City Administration,Nifas Silk Lafto Sub City,Nifas Silk Lafto Sub City,smjdej6f9a2,Tahesas 2017,41.0,265.0,993.0,26.65995975855131
Addis Ababa City Administration,Nifas Silk Lafto Sub City,Nifas Silk Lafto Sub City,smjdej6f9a2,Tikemet 2017,43.0,374.0,1059.0,35.283018867924525
Addis Ababa City Administration,Nifas Silk Lafto Sub City,Nifas Silk Lafto Sub City,smjdej6f9a2,Tir 2017,68.0,187.0,889.0,21.01123595505618
Addis Ababa City Administration,Nifas Silk Lafto Sub City,Nifas Silk Lafto Sub City,smjdej6f9a2,Yekatit 2017,76.0,157.0,799.0,19.625
Addis Ababa City Administration,Yeka Sub City,Yeka Sub City,y5Wg5rqVqVw,Ginbot 2017,17.0,66.0,387.0,17.010309278350515
Addis Ababa City Administration,Yeka Sub City,Yeka Sub City,y5Wg5rqVqVw,Hamle 2016,56.0,161.0,757.0,21.240105540897098
Addis Ababa City Administration,Yeka Sub City,Yeka Sub City,y5Wg5rqVqVw,Hidar 2017,15.0,210.0,707.0,29.66101694915254
Addis Ababa City Administration,Yeka Sub City,Yeka Sub City,y5Wg5rqVqVw,Megabit 2017,7.0,61.0,473.0,12.869198312236287
Addis Ababa City Administration,Yeka Sub City,Yeka Sub City,y5Wg5rqVqVw,Meskerem 2017,8.0,92.0,588.0,15.619694397283531
Addis Ababa City Administration,Yeka Sub City,Yeka Sub City,y5Wg5rqVqVw,Miazia 2017,10.0,77.0,360.0,21.329639889196674
Addis Ababa City Administration,Yeka Sub City,Yeka Sub City,y5Wg5rqVqVw,Nehase 2016,11.0,127.0,916.0,13.849509269356597
Addis Ababa City Administration,Yeka Sub City,Yeka Sub City,y5Wg5rqVqVw,Sene 2017,23.0,65.0,455.0,14.25438596491228
Addis Ababa City Administration,Yeka Sub City,Yeka Sub City,y5Wg5rqVqVw,Tahesas 2017,10.0,142.0,504.0,28.118811881188122
Addis Ababa City Administration,Yeka Sub City,Yeka Sub City,y5Wg5rqVqVw,Tikemet 2017,16.0,243.0,758.0,32.015810276679844
Addis Ababa City Administration,Yeka Sub City,Yeka Sub City,y5Wg5rqVqVw,Tir 2017,23.0,86.0,375.0,22.872340425531913
Addis Ababa City Administration,Yeka Sub City,Yeka Sub City,y5Wg5rqVqVw,Yekatit 2017,12.0,83.0,546.0,15.173674588665447
Afar Region,Zone 1 Zone,Adaar Woreda,B2g4E9bpYaC,Ginbot 2017,0.0,227.0,247.0,91.53225806451613
Afar Region,Zone 1 Zone,Adaar Woreda,B2g4E9bpYaC,Hamle 2016,8.0,180.0,490.0,36.65987780040733
Afar Region,Zone 1 Zone,Adaar Woreda,B2g4E9bpYaC,Hidar 2017,18.0,263.0,326.0,80.42813455657493
Afar Region,Zone 1 Zone,Adaar Woreda,B2g4E9bpYaC,Megabit 2017,0.0,298.0,305.0,97.38562091503267
Afar Region,Zone 1 Zone,Adaar Woreda,B2g4E9bpYaC,Meskerem 2017,15.0,247.0,311.0,79.16666666666666
Afar Region,Zone 1 Zone,Adaar Woreda,B2g4E9bpYaC,Miazia 2017,0.0,268.0,272.0,98.16849816849816
Afar Region,Zone 1 Zone,Adaar Woreda,B2g4E9bpYaC,Nehase 2016,15.0,265.0,441.0,59.95475113122172
Afar Region,Zone 1 Zone,Adaar Woreda,B2g4E9bpYaC,Sene 2017,0.0,229.0,231.0,98.70689655172413
Afar Region,Zone 1 Zone,Adaar Woreda,B2g4E9bpYaC,Tahesas 2017,3.0,262.0,312.0,83.70607028753993
Afar Region,Zone 1 Zone,Adaar Woreda,B2g4E9bpYaC,Tikemet 2017,15.0,292.0,385.0,75.64766839378238
Afar Region,Zone 1 Zone,Adaar Woreda,B2g4E9bpYaC,Tir 2017,0.0,352.0,423.0,83.01886792452831
Afar Region,Zone 1 Zone,Adaar Woreda,B2g4E9bpYaC,Yekatit 2017,0.0,320.0,350.0,91.16809116809117
Afar Region,Zone 1 Zone,Afambo Woreda,bWatsmhxeYR,Ginbot 2017,15.0,420.0,953.0,44.0251572327044
Afar Region,Zone 1 Zone,Afambo Woreda,bWatsmhxeYR,Hamle 2016,0.0,61.0,287.0,21.180555555555554
Afar Region,Zone 1 Zone,Afambo Woreda,bWatsmhxeYR,Hidar 2017,0.0,67.0,312.0,21.405750798722046
Afar Region,Zone 1 Zone,Afambo Woreda,bWatsmhxeYR,Megabit 2017,0.0,633.0,914.0,69.18032786885246
Afar Region,Zone 1 Zone,Afambo Woreda,bWatsmhxeYR,Meskerem 2017,0.0,68.0,517.0,13.127413127413126
Afar Region,Zone 1 Zone,Afambo Woreda,bWatsmhxeYR,Miazia 2017,0.0,595.0,1067.0,55.71161048689138
Afar Region,Zone 1 Zone,Afambo Woreda,bWatsmhxeYR,Nehase 2016,0.0,66.0,364.0,18.08219178082192
Afar Region,Zone 1 Zone,Afambo Woreda,bWatsmhxeYR,Sene 2017,5.0,287.0,1001.0,28.642714570858285
Afar Region,Zone 1 Zone,Afambo Woreda,bWatsmhxeYR,Tahesas 2017,0.0,335.0,840.0,39.833531510107015
Afar Region,Zone 1 Zone,Afambo Woreda,bWatsmhxeYR,Tikemet 2017,0.0,78.0,334.0,23.283582089552237
Afar Region,Zone 1 Zone,Afambo Woreda,bWatsmhxeYR,Tir 2017,0.0,481.0,756.0,63.540290620871865
Afar Region,Zone 1 Zone,Afambo Woreda,bWatsmhxeYR,Yekatit 2017,0.0,435.0,848.0,51.23674911660777
Afar Region,Zone 1 Zone,Aysita City Admin Woreda,kxhExY8eMtK,Ginbot 2017,3.0,166.0,633.0,26.18296529968454
Afar Region,Zone 1 Zone,Aysita City Admin Woreda,kxhExY8eMtK,Hamle 2016,0.0,237.0,781.0,30.30690537084399
Afar Region,Zone 1 Zone,Aysita City Admin Woreda,kxhExY8eMtK,Hidar 2017,0.0,134.0,544.0,24.587155963302752
Afar Region,Zone 1 Zone,Aysita City Admin Woreda,kxhExY8eMtK,Megabit 2017,0.0,436.0,975.0,44.67213114754098
Afar Region,Zone 1 Zone,Aysita City Admin Woreda,kxhExY8eMtK,Meskerem 2017,0.0,190.0,645.0,29.411764705882355
Afar Region,Zone 1 Zone,Aysita City Admin Woreda,kxhExY8eMtK,Miazia 2017,0.0,437.0,1009.0,43.26732673267327
Afar Region,Zone 1 Zone,Aysita City Admin Woreda,kxhExY8eMtK,Nehase 2016,9.0,290.0,901.0,32.15077605321508
Afar Region,Zone 1 Zone,Aysita City Admin Woreda,kxhExY8eMtK,Sene 2017,0.0,243.0,788.0,30.798479087452474
Afar Region,Zone 1 Zone,Aysita City Admin Woreda,kxhExY8eMtK,Tahesas 2017,0.0,280.0,667.0,41.91616766467065
Afar Region,Zone 1 Zone,Aysita City Admin Woreda,kxhExY8eMtK,Tikemet 2017,0.0,49.0,381.0,12.827225130890053
Afar Region,Zone 1 Zone,Aysita City Admin Woreda,kxhExY8eMtK,Tir 2017,0.0,551.0,1249.0,44.080000000000005
Afar Region,Zone 1 Zone,Aysita City Admin Woreda,kxhExY8eMtK,Yekatit 2017,0.0,580.0,1293.0,44.822256568778975
Afar Region,Zone 1 Zone,Ayssaita Woreda,OuwClj9SXEs,Ginbot 2017,5.0,187.0,1222.0,15.290269828291086
Afar Region,Zone 1 Zone,Ayssaita Woreda,OuwClj9SXEs,Hamle 2016,1.0,8.0,403.0,1.9801980198019802
Afar Region,Zone 1 Zone,Ayssaita Woreda,OuwClj9SXEs,Hidar 2017,0.0,0.0,403.0,0.0
Afar Region,Zone 1 Zone,Ayssaita Woreda,OuwClj9SXEs,Megabit 2017,0.0,543.0,1882.0,28.836962294211364
Afar Region,Zone 1 Zone,Ayssaita Woreda,OuwClj9SXEs,Meskerem 2017,0.0,96.0,517.0,18.53281853281853
Afar Region,Zone 1 Zone,Ayssaita Woreda,OuwClj9SXEs,Miazia 2017,0.0,280.0,1374.0,20.363636363636363
Afar Region,Zone 1 Zone,Ayssaita Woreda,OuwClj9SXEs,Nehase 2016,0.0,0.0,607.0,0.0
Afar Region,Zone 1 Zone,Ayssaita Woreda,OuwClj9SXEs,Sene 2017,0.0,83.0,475.0,17.436974789915965
Afar Region,Zone 1 Zone,Ayssaita Woreda,OuwClj9SXEs,Tahesas 2017,0.0,57.0,389.0,14.615384615384617
Afar Region,Zone 1 Zone,Ayssaita Woreda,OuwClj9SXEs,Tikemet 2017,0.0,0.0,386.0,0.0
Afar Region,Zone 1 Zone,Ayssaita Woreda,OuwClj9SXEs,Tir 2017,148.0,1209.0,2409.0,50.16597510373444
Afar Region,Zone 1 Zone,Ayssaita Woreda,OuwClj9SXEs,Yekatit 2017,0.0,894.0,1924.0,46.44155844155844
Afar Region,Zone 1 Zone,Chifra City Administration,mig269T7pP6,Ginbot 2017,0.0,27.0,60.0,44.26229508196721
Afar Region,Zone 1 Zone,Chifra City Administration,mig269T7pP6,Hamle 2016,0.0,10.0,44.0,22.22222222222222
Afar Region,Zone 1 Zone,Chifra City Administration,mig269T7pP6,Hidar 2017,0.0,0.0,0.0,0.0
Afar Region,Zone 1 Zone,Chifra City Administration,mig269T7pP6,Megabit 2017,0.0,3.0,9.0,30.0
Afar Region,Zone 1 Zone,Chifra City Administration,mig269T7pP6,Meskerem 2017,0.0,9.0,20.0,42.857142857142854
Afar Region,Zone 1 Zone,Chifra City Administration,mig269T7pP6,Miazia 2017,0.0,0.0,9.0,0.0
Afar Region,Zone 1 Zone,Chifra City Administration,mig269T7pP6,Nehase 2016,1.0,10.0,32.0,30.303030303030305
Afar Region,Zone 1 Zone,Chifra City Administration,mig269T7pP6,Sene 2017,0.0,27.0,59.0,45.0
Afar Region,Zone 1 Zone,Chifra City Administration,mig269T7pP6,Tahesas 2017,0.0,0.0,23.0,0.0
Afar Region,Zone 1 Zone,Chifra City Administration,mig269T7pP6,Tikemet 2017,0.0,5.0,15.0,31.25
Afar Region,Zone 1 Zone,Chifra City Administration,mig269T7pP6,Tir 2017,0.0,0.0,38.0,0.0
Afar Region,Zone 1 Zone,Chifra City Administration,mig269T7pP6,Yekatit 2017,0.0,18.0,37.0,47.368421052631575
Afar Region,Zone 1 Zone,Chifra Woreda,Xr2Im99CCXn,Ginbot 2017,0.0,194.0,609.0,31.80327868852459
Afar Region,Zone 1 Zone,Chifra Woreda,Xr2Im99CCXn,Hamle 2016,1.0,210.0,561.0,37.36654804270463
Afar Region,Zone 1 Zone,Chifra Woreda,Xr2Im99CCXn,Hidar 2017,0.0,796.0,1378.0,57.72298767222625
Afar Region,Zone 1 Zone,Chifra Woreda,Xr2Im99CCXn,Megabit 2017,0.0,193.0,694.0,27.769784172661872
