orgunitlevel2,orgunitlevel3,organisationunitname,organisationunitid,Eth_Month_Year,Travel,Positive,Tests,Positivity_Rate
Addis Ababa City Administration,Bole Sub City,Bole Sub City,Bqq3KNXFksZ,Hamle 2014,11.0,38.0,244.0,15.510204081632653
Addis Ababa City Administration,Bole Sub City,Bole Sub City,Bqq3KNXFksZ,Hidar 2015,3.0,50.0,398.0,12.531328320802004
Addis Ababa City Administration,Bole Sub City,Bole Sub City,Bqq3KNXFksZ,Megabit 2015,12.0,35.0,247.0,14.112903225806454
Addis Ababa City Administration,Bole Sub City,Bole Sub City,Bqq3KNXFksZ,Meskerem 2015,3.0,34.0,289.0,11.724137931034482
Addis Ababa City Administration,Bole Sub City,Bole Sub City,Bqq3KNXFksZ,Miazia 2015,13.0,41.0,278.0,14.695340501792115
Addis Ababa City Administration,Bole Sub City,Bole Sub City,Bqq3KNXFksZ,Nehase 2014,10.0,27.0,253.0,10.62992125984252
Addis Ababa City Administration,Bole Sub City,Bole Sub City,Bqq3KNXFksZ,Sene 2015,8.0,73.0,341.0,21.34502923976608
Addis Ababa City Administration,Bole Sub City,Bole Sub City,Bqq3KNXFksZ,Tahesas 2015,7.0,27.0,257.0,10.465116279069768
Addis Ababa City Administration,Bole Sub City,Bole Sub City,Bqq3KNXFksZ,Tikemet 2015,12.0,37.0,384.0,9.61038961038961
Addis Ababa City Administration,Bole Sub City,Bole Sub City,Bqq3KNXFksZ,Tir 2015,10.0,38.0,256.0,14.785992217898833
Addis Ababa City Administration,Bole Sub City,Bole Sub City,Bqq3KNXFksZ,Yekatit 2015,15.0,40.0,266.0,14.981273408239701
Addis Ababa City Administration,Gulele Sub City,Gulele Sub City,fP7LbnZr3ef,Ginbot 2015,7.0,19.0,125.0,15.079365079365079
Addis Ababa City Administration,Gulele Sub City,Gulele Sub City,fP7LbnZr3ef,Hamle 2014,5.0,19.0,96.0,19.587628865979383
Addis Ababa City Administration,Gulele Sub City,Gulele Sub City,fP7LbnZr3ef,Hidar 2015,4.0,23.0,115.0,19.82758620689655
Addis Ababa City Administration,Gulele Sub City,Gulele Sub City,fP7LbnZr3ef,Megabit 2015,8.0,19.0,91.0,20.652173913043477
Addis Ababa City Administration,Gulele Sub City,Gulele Sub City,fP7LbnZr3ef,Meskerem 2015,3.0,19.0,96.0,19.587628865979383
Addis Ababa City Administration,Gulele Sub City,Gulele Sub City,fP7LbnZr3ef,Miazia 2015,0.0,12.0,77.0,15.384615384615385
Addis Ababa City Administration,Gulele Sub City,Gulele Sub City,fP7LbnZr3ef,Nehase 2014,26.0,19.0,120.0,15.702479338842975
Addis Ababa City Administration,Gulele Sub City,Gulele Sub City,fP7LbnZr3ef,Sene 2015,17.0,39.0,121.0,31.967213114754102
Addis Ababa City Administration,Gulele Sub City,Gulele Sub City,fP7LbnZr3ef,Tahesas 2015,5.0,16.0,87.0,18.181818181818183
Addis Ababa City Administration,Gulele Sub City,Gulele Sub City,fP7LbnZr3ef,Tikemet 2015,3.0,19.0,112.0,16.8141592920354
Addis Ababa City Administration,Gulele Sub City,Gulele Sub City,fP7LbnZr3ef,Tir 2015,12.0,26.0,82.0,31.32530120481928
Addis Ababa City Administration,Gulele Sub City,Gulele Sub City,fP7LbnZr3ef,Yekatit 2015,12.0,20.0,102.0,19.41747572815534
Addis Ababa City Administration,Kirkos Sub City,Kirkos Sub City,aeTzP0ST2hq,Ginbot 2015,0.0,35.0,354.0,9.859154929577464
Addis Ababa City Administration,Kirkos Sub City,Kirkos Sub City,aeTzP0ST2hq,Hamle 2014,2.0,67.0,366.0,18.256130790190735
Addis Ababa City Administration,Kirkos Sub City,Kirkos Sub City,aeTzP0ST2hq,Hidar 2015,1.0,29.0,360.0,8.033240997229916
Addis Ababa City Administration,Kirkos Sub City,Kirkos Sub City,aeTzP0ST2hq,Megabit 2015,0.0,29.0,475.0,6.092436974789916
Addis Ababa City Administration,Kirkos Sub City,Kirkos Sub City,aeTzP0ST2hq,Meskerem 2015,34.0,35.0,250.0,13.94422310756972
Addis Ababa City Administration,Kirkos Sub City,Kirkos Sub City,aeTzP0ST2hq,Miazia 2015,0.0,28.0,430.0,6.496519721577726
Addis Ababa City Administration,Kirkos Sub City,Kirkos Sub City,aeTzP0ST2hq,Nehase 2014,3.0,43.0,410.0,10.46228710462287
Addis Ababa City Administration,Kirkos Sub City,Kirkos Sub City,aeTzP0ST2hq,Sene 2015,2.0,52.0,566.0,9.171075837742503
Addis Ababa City Administration,Kirkos Sub City,Kirkos Sub City,aeTzP0ST2hq,Tahesas 2015,0.0,27.0,409.0,6.585365853658537
Addis Ababa City Administration,Kirkos Sub City,Kirkos Sub City,aeTzP0ST2hq,Tikemet 2015,3.0,25.0,341.0,7.309941520467836
Addis Ababa City Administration,Kirkos Sub City,Kirkos Sub City,aeTzP0ST2hq,Tir 2015,1.0,40.0,435.0,9.174311926605505
Addis Ababa City Administration,Kirkos Sub City,Kirkos Sub City,aeTzP0ST2hq,Yekatit 2015,0.0,42.0,403.0,10.396039603960396
Addis Ababa City Administration,Kolfe Subcity,Kolfe Subcity,R6nsx1xB8wq,Ginbot 2015,1.0,42.0,286.0,14.634146341463413
Addis Ababa City Administration,Kolfe Subcity,Kolfe Subcity,R6nsx1xB8wq,Hamle 2014,0.0,15.0,158.0,9.433962264150944
