orgunitlevel2,orgunitlevel3,organisationunitname,organisationunitid,Eth_Month_Year,Travel,Positive,Tests,Positivity_Rate,Period_Gregorian_start,Period_Gregorian_end,Period
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Ginbot 2016,17.0,89.0,823.0,10.800970873786406,2024-05-09,2024-06-07,2024 May
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Hamle 2015,5.0,53.0,672.0,7.87518573551263,2023-07-08,2023-08-06,2023 Jul
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Hidar 2016,4.0,59.0,748.0,7.87716955941255,2023-11-11,2023-12-10,2023 Nov
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Megabit 2016,11.0,121.0,816.0,14.81028151774786,2024-03-10,2024-04-08,2024 Mar
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Meskerem 2016,0.0,98.0,737.0,13.279132791327914,2023-09-12,2023-10-11,2023 Sept
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Miazia 2016,33.0,83.0,877.0,9.453302961275629,2024-04-09,2024-05-08,2024 Apr
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Nehase 2015,5.0,83.0,700.0,11.840228245363766,2023-08-07,2023-09-05,2023 Aug
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Sene 2016,10.0,152.0,1062.0,14.299153339604892,2024-06-08,2024-07-07,2024 Jun
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Tahesas 2016,10.0,65.0,701.0,9.25925925925926,2023-12-11,2024-01-09,2023 Dec
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Tikemet 2016,4.0,88.0,945.0,9.30232558139535,2023-10-12,2023-11-10,2023 Oct
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Tir 2016,11.0,87.0,678.0,12.812960235640649,2024-01-10,2024-02-08,2024 Jan
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Yekatit 2016,4.0,96.0,732.0,13.096862210095498,2024-02-09,2024-03-09,2024 Feb
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Ginbot 2016,0.0,91.0,772.0,11.772315653298836,2024-05-09,2024-06-07,2024 May
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Hamle 2015,0.0,50.0,444.0,11.235955056179774,2023-07-08,2023-08-06,2023 Jul
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Hidar 2016,0.0,83.0,823.0,10.072815533980584,2023-11-11,2023-12-10,2023 Nov
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Megabit 2016,0.0,78.0,730.0,10.6703146374829,2024-03-10,2024-04-08,2024 Mar
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Meskerem 2016,0.0,57.0,546.0,10.420475319926874,2023-09-12,2023-10-11,2023 Sept
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Miazia 2016,7.0,51.0,663.0,7.680722891566265,2024-04-09,2024-05-08,2024 Apr
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Nehase 2015,2.0,38.0,428.0,8.857808857808857,2023-08-07,2023-09-05,2023 Aug
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Sene 2016,6.0,166.0,970.0,17.09577754891864,2024-06-08,2024-07-07,2024 Jun
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Tahesas 2016,7.0,46.0,684.0,6.715328467153285,2023-12-11,2024-01-09,2023 Dec
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Tikemet 2016,6.0,87.0,664.0,13.082706766917292,2023-10-12,2023-11-10,2023 Oct
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Tir 2016,3.0,76.0,609.0,12.459016393442624,2024-01-10,2024-02-08,2024 Jan
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Yekatit 2016,0.0,74.0,742.0,9.959623149394348,2024-02-09,2024-03-09,2024 Feb
Addis Ababa City Administration,Arada Sub City,Arada Sub City,ZDlhLE4uVcy,Ginbot 2016,1.0,65.0,365.0,17.759562841530055,2024-05-09,2024-06-07,2024 May
Addis Ababa City Administration,Arada Sub City,Arada Sub City,ZDlhLE4uVcy,Hamle 2015,0.0,30.0,164.0,18.181818181818183,2023-07-08,2023-08-06,2023 Jul
Addis Ababa City Administration,Arada Sub City,Arada Sub City,ZDlhLE4uVcy,Hidar 2016,0.0,27.0,256.0,10.505836575875486,2023-11-11,2023-12-10,2023 Nov
Addis Ababa City Administration,Arada Sub City,Arada Sub City,ZDlhLE4uVcy,Megabit 2016,1.0,44.0,285.0,15.384615384615383,2024-03-10,2024-04-08,2024 Mar
Addis Ababa City Administration,Arada Sub City,Arada Sub City,ZDlhLE4uVcy,Meskerem 2016,0.0,45.0,230.0,19.480519480519483,2023-09-12,2023-10-11,2023 Sept
Addis Ababa City Administration,Arada Sub City,Arada Sub City,ZDlhLE4uVcy,Miazia 2016,2.0,53.0,276.0,19.133574007220215,2024-04-09,2024-05-08,2024 Apr
Addis Ababa City Administration,Arada Sub City,Arada Sub City,ZDlhLE4uVcy,Nehase 2015,0.0,36.0,249.0,14.4,2023-08-07,2023-09-05,2023 Aug
Addis Ababa City Administration,Arada Sub City,Arada Sub City,ZDlhLE4uVcy,Sene 2016,3.0,81.0,388.0,20.822622107969153,2024-06-08,2024-07-07,2024 Jun
Addis Ababa City Administration,Arada Sub City,Arada Sub City,ZDlhLE4uVcy,Tahesas 2016,0.0,26.0,243.0,10.655737704918032,2023-12-11,2024-01-09,2023 Dec
Addis Ababa City Administration,Arada Sub City,Arada Sub City,ZDlhLE4uVcy,Tikemet 2016,15.0,29.0,222.0,13.004484304932737,2023-10-12,2023-11-10,2023 Oct
Addis Ababa City Administration,Arada Sub City,Arada Sub City,ZDlhLE4uVcy,Tir 2016,3.0,40.0,196.0,20.304568527918786,2024-01-10,2024-02-08,2024 Jan
