ADM3_PCODE,Eth_Month_Year,Latitude,Longitude,Elevation_m,MaxTemp_C,MinTemp_C,AvgTemp_C,Rainfall_mm,Humidity_pct
ET010101,Tahesas 2018,14.3964,37.7188,1023.0,30.04,20.04,25.04,1.1988828688869853,27.5
ET010101,Tikemet 2018,14.3964,37.7188,1023.0,30.83,20.83,25.83,28.25525282722476,40.3
ET010101,Tir 2018,14.3964,37.7188,1023.0,30.92,20.92,25.92,2.341946677032562,25.7
ET010103,Ginbot 2014,13.8694,38.4381,1592.2,31.69,21.69,26.69,50.20666270404463,28.9
ET010103,Hamle 2013,13.8694,38.4381,1592.2,24.95,14.95,19.95,256.686326135399,83.6
ET010103,Hidar 2014,13.8694,38.4381,1592.2,26.29,16.29,21.29,17.4251293525631,39.7
ET010103,Megabit 2014,13.8694,38.4381,1592.2,29.97,19.97,24.97,13.913651011822653,27.5
ET010103,Meskerem 2014,13.8694,38.4381,1592.2,25.73,15.73,20.73,103.00649314582448,70.6
ET010103,Miazia 2014,13.8694,38.4381,1592.2,31.14,21.14,26.14,23.887274898751414,27.6
ET010103,Nehase 2013,13.8694,38.4381,1592.2,25.03,15.03,20.03,220.58688587648555,84.8
ET010103,Sene 2014,13.8694,38.4381,1592.2,28.16,18.16,23.16,165.0834559424961,55.2
ET010103,Tahesas 2014,13.8694,38.4381,1592.2,25.64,15.64,20.64,5.410887868780839,37.5
ET010103,Tikemet 2014,13.8694,38.4381,1592.2,26.59,16.59,21.59,50.44116214046251,49.4
ET010103,Tir 2014,13.8694,38.4381,1592.2,26.55,16.55,21.55,5.6478916226501985,37.7
ET010103,Yekatit 2014,13.8694,38.4381,1592.2,28.67,18.67,23.67,5.385169898714802,33.2
ET010103,Ginbot 2015,13.8694,38.4381,1592.2,30.62,20.62,25.62,90.50713978688056,39.3
ET010103,Hamle 2014,13.8694,38.4381,1592.2,24.41,14.41,19.41,263.028199278438,86.4
ET010103,Hidar 2015,13.8694,38.4381,1592.2,25.83,15.83,20.83,9.790440749474412,41.6
