orgunitlevel2,orgunitlevel3,organisationunitname,organisationunitid,Eth_Month_Year,Travel,Positive,Tests,Positivity_Rate,Period_Gregorian_start,Period_Gregorian_end,Period
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Ginbot 2015,13.0,42.0,443.0,9.45945945945946,2023-05-09,2023-06-07,2023 May
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Hamle 2014,4.0,26.0,369.0,7.027027027027027,2022-07-08,2022-08-06,2022 Jul
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Hidar 2015,3.0,27.0,416.0,6.474820143884892,2022-11-10,2022-12-09,2022 Nov
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Megabit 2015,8.0,64.0,528.0,12.098298676748582,2023-03-10,2023-04-08,2023 Mar
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Meskerem 2015,0.0,47.0,402.0,11.662531017369728,2022-09-11,2022-10-10,2022 Sept
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Miazia 2015,25.0,43.0,524.0,8.190476190476192,2023-04-09,2023-05-08,2023 Apr
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Nehase 2014,4.0,42.0,379.0,11.052631578947368,2022-08-07,2022-09-05,2022 Aug
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Sene 2015,8.0,75.0,667.0,11.22754491017964,2023-06-08,2023-07-07,2023 Jun
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Tahesas 2015,7.0,34.0,396.0,8.564231738035264,2022-12-10,2023-01-08,2022 Dec
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Tikemet 2015,3.0,45.0,573.0,7.8397212543554,2022-10-11,2022-11-09,2022 Oct
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Tir 2015,8.0,44.0,329.0,13.333333333333334,2023-01-09,2023-02-07,2023 Jan
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Yekatit 2015,3.0,49.0,423.0,11.556603773584904,2023-02-08,2023-03-09,2023 Feb
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Ginbot 2015,0.0,43.0,412.0,10.411622276029057,2023-05-09,2023-06-07,2023 May
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Hamle 2014,0.0,27.0,260.0,10.344827586206897,2022-07-08,2022-08-06,2022 Jul
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Hidar 2015,0.0,43.0,460.0,9.327548806941431,2022-11-10,2022-12-09,2022 Nov
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Megabit 2015,0.0,37.0,403.0,9.15841584158416,2023-03-10,2023-04-08,2023 Mar
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Meskerem 2015,0.0,29.0,312.0,9.26517571884984,2022-09-11,2022-10-10,2022 Sept
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Miazia 2015,5.0,22.0,325.0,6.748466257668712,2023-04-09,2023-05-08,2023 Apr
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Nehase 2014,1.0,20.0,224.0,8.88888888888889,2022-08-07,2022-09-05,2022 Aug
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Sene 2015,4.0,84.0,481.0,17.42738589211618,2023-06-08,2023-07-07,2023 Jun
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Tahesas 2015,6.0,22.0,369.0,5.9459459459459465,2022-12-10,2023-01-08,2022 Dec
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Tikemet 2015,4.0,47.0,303.0,15.460526315789474,2022-10-11,2022-11-09,2022 Oct
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Tir 2015,2.0,40.0,379.0,10.526315789473683,2023-01-09,2023-02-07,2023 Jan
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Yekatit 2015,0.0,40.0,363.0,10.989010989010987,2023-02-08,2023-03-09,2023 Feb
Addis Ababa City Administration,Arada Sub City,Arada Sub City,ZDlhLE4uVcy,Ginbot 2015,1.0,35.0,204.0,17.073170731707318,2023-05-09,2023-06-07,2023 May
Addis Ababa City Administration,Arada Sub City,Arada Sub City,ZDlhLE4uVcy,Hamle 2014,0.0,16.0,92.0,17.20430107526882,2022-07-08,2022-08-06,2022 Jul
Addis Ababa City Administration,Arada Sub City,Arada Sub City,ZDlhLE4uVcy,Hidar 2015,0.0,12.0,123.0,9.67741935483871,2022-11-10,2022-12-09,2022 Nov
Addis Ababa City Administration,Arada Sub City,Arada Sub City,ZDlhLE4uVcy,Megabit 2015,1.0,22.0,163.0,13.414634146341465,2023-03-10,2023-04-08,2023 Mar
Addis Ababa City Administration,Arada Sub City,Arada Sub City,ZDlhLE4uVcy,Meskerem 2015,0.0,22.0,142.0,15.384615384615383,2022-09-11,2022-10-10,2022 Sept
Addis Ababa City Administration,Arada Sub City,Arada Sub City,ZDlhLE4uVcy,Miazia 2015,2.0,25.0,166.0,14.97005988023952,2023-04-09,2023-05-08,2023 Apr
Addis Ababa City Administration,Arada Sub City,Arada Sub City,ZDlhLE4uVcy,Nehase 2014,0.0,17.0,131.0,12.87878787878788,2022-08-07,2022-09-05,2022 Aug
Addis Ababa City Administration,Arada Sub City,Arada Sub City,ZDlhLE4uVcy,Sene 2015,2.0,36.0,225.0,15.929203539823009,2023-06-08,2023-07-07,2023 Jun
Addis Ababa City Administration,Arada Sub City,Arada Sub City,ZDlhLE4uVcy,Tahesas 2015,0.0,13.0,139.0,9.285714285714286,2022-12-10,2023-01-08,2022 Dec
Addis Ababa City Administration,Arada Sub City,Arada Sub City,ZDlhLE4uVcy,Tikemet 2015,12.0,15.0,123.0,12.096774193548388,2022-10-11,2022-11-09,2022 Oct
Addis Ababa City Administration,Arada Sub City,Arada Sub City,ZDlhLE4uVcy,Tir 2015,2.0,20.0,101.0,19.607843137254903,2023-01-09,2023-02-07,2023 Jan
Addis Ababa City Administration,Arada Sub City,Arada Sub City,ZDlhLE4uVcy,Yekatit 2015,1.0,20.0,148.0,13.422818791946307,2023-02-08,2023-03-09,2023 Feb
Addis Ababa City Administration,Bole Sub City,Bole Sub City,Bqq3KNXFksZ,Ginbot 2015,9.0,42.0,520.0,8.061420345489443,2023-05-09,2023-06-07,2023 May
Addis Ababa City Administration,Bole Sub City,Bole Sub City,Bqq3KNXFksZ,Hamle 2014,11.0,38.0,244.0,15.510204081632653,2022-07-08,2022-08-06,2022 Jul
Addis Ababa City Administration,Bole Sub City,Bole Sub City,Bqq3KNXFksZ,Hidar 2015,3.0,50.0,398.0,12.531328320802004,2022-11-10,2022-12-09,2022 Nov
Addis Ababa City Administration,Bole Sub City,Bole Sub City,Bqq3KNXFksZ,Megabit 2015,12.0,35.0,247.0,14.112903225806454,2023-03-10,2023-04-08,2023 Mar
Addis Ababa City Administration,Bole Sub City,Bole Sub City,Bqq3KNXFksZ,Meskerem 2015,3.0,34.0,289.0,11.724137931034482,2022-09-11,2022-10-10,2022 Sept
