orgunitlevel2,orgunitlevel3,organisationunitname,organisationunitid,Eth_Month_Year,Travel,Positive,Tests,Positivity_Rate,Period_Gregorian_start,Period_Gregorian_end,Period
Addis Ababa City Administration,Arada Sub City,Arada Sub City,ZDlhLE4uVcy,Meskerem 2014,0.0,12.0,65.0,18.181818181818183,2021-09-11,2021-10-10,2021 Sept
Addis Ababa City Administration,Arada Sub City,Arada Sub City,ZDlhLE4uVcy,Miazia 2014,1.0,14.0,78.0,17.72151898734177,2022-04-09,2022-05-08,2022 Apr
Addis Ababa City Administration,Arada Sub City,Arada Sub City,ZDlhLE4uVcy,Nehase 2013,0.0,10.0,78.0,12.658227848101266,2021-08-07,2021-09-05,2021 Aug
Addis Ababa City Administration,Arada Sub City,Arada Sub City,ZDlhLE4uVcy,Sene 2014,2.0,22.0,131.0,16.666666666666664,2022-06-08,2022-07-07,2022 Jun
Addis Ababa City Administration,Arada Sub City,Arada Sub City,ZDlhLE4uVcy,Tahesas 2014,0.0,7.0,75.0,9.210526315789473,2021-12-10,2022-01-08,2021 Dec
Addis Ababa City Administration,Arada Sub City,Arada Sub City,ZDlhLE4uVcy,Tikemet 2014,8.0,7.0,62.0,11.11111111111111,2021-10-11,2021-11-09,2021 Oct
Addis Ababa City Administration,Arada Sub City,Arada Sub City,ZDlhLE4uVcy,Tir 2014,2.0,10.0,66.0,14.925373134328357,2022-01-09,2022-02-07,2022 Jan
Addis Ababa City Administration,Arada Sub City,Arada Sub City,ZDlhLE4uVcy,Yekatit 2014,1.0,11.0,77.0,14.102564102564102,2022-02-08,2022-03-09,2022 Feb
Addis Ababa City Administration,Bole Sub City,Bole Sub City,Bqq3KNXFksZ,Ginbot 2014,6.0,23.0,275.0,8.333333333333332,2022-05-09,2022-06-07,2022 May
Addis Ababa City Administration,Bole Sub City,Bole Sub City,Bqq3KNXFksZ,Hamle 2013,8.0,16.0,141.0,11.267605633802818,2021-07-08,2021-08-06,2021 Jul
Addis Ababa City Administration,Bole Sub City,Bole Sub City,Bqq3KNXFksZ,Hidar 2014,2.0,26.0,192.0,13.471502590673577,2021-11-10,2021-12-09,2021 Nov
