orgunitlevel2,orgunitlevel3,organisationunitname,organisationunitid,Eth_Month_Year,Travel,Positive,Tests,Positivity_Rate,Period_Gregorian_start,Period_Gregorian_end,Period
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Ginbot 2017,39.0,173.0,1217.0,14.203612479474549,2025-05-09,2025-06-07,2025 May
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Hamle 2016,18.0,268.0,1365.0,19.619326500732065,2024-07-08,2024-08-06,2024 Jul
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Hidar 2017,37.0,395.0,2000.0,19.74012993503248,2024-11-10,2024-12-09,2024 Nov
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Megabit 2017,51.0,144.0,1358.0,10.596026490066226,2025-03-10,2025-04-08,2025 Mar
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Meskerem 2017,15.0,234.0,1638.0,14.27699816961562,2024-09-11,2024-10-10,2024 Sept
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Miazia 2017,15.0,138.0,1237.0,11.147011308562195,2025-04-09,2025-05-08,2025 Apr
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Nehase 2016,24.0,200.0,1594.0,12.539184952978054,2024-08-07,2024-09-05,2024 Aug
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Sene 2017,51.0,167.0,1087.0,15.349264705882351,2025-06-08,2025-07-07,2025 Jun
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Tahesas 2017,24.0,311.0,1526.0,20.36673215455141,2024-12-10,2025-01-08,2024 Dec
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Tikemet 2017,74.0,521.0,2266.0,22.98191442434936,2024-10-11,2024-11-09,2024 Oct
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Tir 2017,56.0,199.0,1292.0,15.390564578499614,2025-01-09,2025-02-07,2025 Jan
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,JgBKioqJo5h,Yekatit 2017,29.0,166.0,1356.0,12.232866617538688,2025-02-08,2025-03-09,2025 Feb
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Ginbot 2017,22.0,116.0,1033.0,11.218568665377177,2025-05-09,2025-06-07,2025 May
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Hamle 2016,21.0,271.0,1246.0,21.732157177225343,2024-07-08,2024-08-06,2024 Jul
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Hidar 2017,94.0,318.0,1697.0,18.727915194346288,2024-11-10,2024-12-09,2024 Nov
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Megabit 2017,14.0,109.0,1008.0,10.802775024777008,2025-03-10,2025-04-08,2025 Mar
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Meskerem 2017,41.0,253.0,1878.0,13.46460883448643,2024-09-11,2024-10-10,2024 Sept
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Miazia 2017,30.0,114.0,1141.0,9.98248686514886,2025-04-09,2025-05-08,2025 Apr
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Nehase 2016,38.0,203.0,1483.0,13.679245283018869,2024-08-07,2024-09-05,2024 Aug
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Sene 2017,21.0,99.0,697.0,14.183381088825216,2025-06-08,2025-07-07,2025 Jun
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Tahesas 2017,78.0,295.0,1699.0,17.352941176470587,2024-12-10,2025-01-08,2024 Dec
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Tikemet 2017,145.0,417.0,1964.0,21.22137404580153,2024-10-11,2024-11-09,2024 Oct
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Tir 2017,68.0,173.0,1103.0,15.670289855072465,2025-01-09,2025-02-07,2025 Jan
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,IRwFTUG9H8c,Yekatit 2017,11.0,119.0,1111.0,10.701438848920864,2025-02-08,2025-03-09,2025 Feb
Addis Ababa City Administration,Arada Sub City,Arada Sub City,ZDlhLE4uVcy,Ginbot 2017,48.0,104.0,457.0,22.707423580786028,2025-05-09,2025-06-07,2025 May
Addis Ababa City Administration,Arada Sub City,Arada Sub City,ZDlhLE4uVcy,Hamle 2016,6.0,124.0,536.0,23.09124767225326,2024-07-08,2024-08-06,2024 Jul
Addis Ababa City Administration,Arada Sub City,Arada Sub City,ZDlhLE4uVcy,Hidar 2017,40.0,126.0,683.0,18.421052631578945,2024-11-10,2024-12-09,2024 Nov
Addis Ababa City Administration,Arada Sub City,Arada Sub City,ZDlhLE4uVcy,Megabit 2017,25.0,64.0,481.0,13.278008298755188,2025-03-10,2025-04-08,2025 Mar
Addis Ababa City Administration,Arada Sub City,Arada Sub City,ZDlhLE4uVcy,Meskerem 2017,25.0,119.0,590.0,20.13536379018613,2024-09-11,2024-10-10,2024 Sept
Addis Ababa City Administration,Arada Sub City,Arada Sub City,ZDlhLE4uVcy,Miazia 2017,23.0,66.0,316.0,20.82018927444795,2025-04-09,2025-05-08,2025 Apr
Addis Ababa City Administration,Arada Sub City,Arada Sub City,ZDlhLE4uVcy,Nehase 2016,13.0,119.0,461.0,25.75757575757576,2024-08-07,2024-09-05,2024 Aug
Addis Ababa City Administration,Arada Sub City,Arada Sub City,ZDlhLE4uVcy,Sene 2017,31.0,67.0,405.0,16.502463054187192,2025-06-08,2025-07-07,2025 Jun
Addis Ababa City Administration,Arada Sub City,Arada Sub City,ZDlhLE4uVcy,Tahesas 2017,24.0,111.0,478.0,23.173277661795407,2024-12-10,2025-01-08,2024 Dec
Addis Ababa City Administration,Arada Sub City,Arada Sub City,ZDlhLE4uVcy,Tikemet 2017,47.0,239.0,729.0,32.73972602739726,2024-10-11,2024-11-09,2024 Oct
Addis Ababa City Administration,Arada Sub City,Arada Sub City,ZDlhLE4uVcy,Tir 2017,26.0,72.0,455.0,15.789473684210526,2025-01-09,2025-02-07,2025 Jan
Addis Ababa City Administration,Arada Sub City,Arada Sub City,ZDlhLE4uVcy,Yekatit 2017,19.0,47.0,432.0,10.854503464203232,2025-02-08,2025-03-09,2025 Feb
Addis Ababa City Administration,Bole Sub City,Bole Sub City,Bqq3KNXFksZ,Ginbot 2017,41.0,170.0,997.0,17.034068136272545,2025-05-09,2025-06-07,2025 May
Addis Ababa City Administration,Bole Sub City,Bole Sub City,Bqq3KNXFksZ,Hamle 2016,4.0,202.0,691.0,29.190751445086704,2024-07-08,2024-08-06,2024 Jul
Addis Ababa City Administration,Bole Sub City,Bole Sub City,Bqq3KNXFksZ,Hidar 2017,165.0,317.0,1230.0,25.751421608448418,2024-11-10,2024-12-09,2024 Nov
Addis Ababa City Administration,Bole Sub City,Bole Sub City,Bqq3KNXFksZ,Megabit 2017,22.0,120.0,852.0,14.06799531066823,2025-03-10,2025-04-08,2025 Mar
Addis Ababa City Administration,Bole Sub City,Bole Sub City,Bqq3KNXFksZ,Meskerem 2017,38.0,200.0,1023.0,19.53125,2024-09-11,2024-10-10,2024 Sept
Addis Ababa City Administration,Bole Sub City,Bole Sub City,Bqq3KNXFksZ,Miazia 2017,21.0,109.0,787.0,13.83248730964467,2025-04-09,2025-05-08,2025 Apr
Addis Ababa City Administration,Bole Sub City,Bole Sub City,Bqq3KNXFksZ,Nehase 2016,28.0,159.0,933.0,17.02355460385439,2024-08-07,2024-09-05,2024 Aug
Addis Ababa City Administration,Bole Sub City,Bole Sub City,Bqq3KNXFksZ,Sene 2017,73.0,167.0,1067.0,15.636704119850188,2025-06-08,2025-07-07,2025 Jun
Addis Ababa City Administration,Bole Sub City,Bole Sub City,Bqq3KNXFksZ,Tahesas 2017,42.0,171.0,823.0,20.75242718446602,2024-12-10,2025-01-08,2024 Dec
Addis Ababa City Administration,Bole Sub City,Bole Sub City,Bqq3KNXFksZ,Tikemet 2017,178.0,334.0,1210.0,27.58051197357555,2024-10-11,2024-11-09,2024 Oct
Addis Ababa City Administration,Bole Sub City,Bole Sub City,Bqq3KNXFksZ,Tir 2017,9.0,165.0,710.0,23.20675105485232,2025-01-09,2025-02-07,2025 Jan
Addis Ababa City Administration,Bole Sub City,Bole Sub City,Bqq3KNXFksZ,Yekatit 2017,31.0,137.0,1150.0,11.902693310165075,2025-02-08,2025-03-09,2025 Feb
Addis Ababa City Administration,Gulele Sub City,Gulele Sub City,fP7LbnZr3ef,Ginbot 2017,22.0,79.0,248.0,31.72690763052209,2025-05-09,2025-06-07,2025 May
Addis Ababa City Administration,Gulele Sub City,Gulele Sub City,fP7LbnZr3ef,Hamle 2016,34.0,106.0,305.0,34.64052287581699,2024-07-08,2024-08-06,2024 Jul
Addis Ababa City Administration,Gulele Sub City,Gulele Sub City,fP7LbnZr3ef,Hidar 2017,7.0,133.0,456.0,29.10284463894967,2024-11-10,2024-12-09,2024 Nov
Addis Ababa City Administration,Gulele Sub City,Gulele Sub City,fP7LbnZr3ef,Megabit 2017,34.0,73.0,285.0,25.524475524475527,2025-03-10,2025-04-08,2025 Mar
Addis Ababa City Administration,Gulele Sub City,Gulele Sub City,fP7LbnZr3ef,Meskerem 2017,22.0,107.0,367.0,29.076086956521745,2024-09-11,2024-10-10,2024 Sept
Addis Ababa City Administration,Gulele Sub City,Gulele Sub City,fP7LbnZr3ef,Miazia 2017,21.0,68.0,303.0,22.36842105263158,2025-04-09,2025-05-08,2025 Apr
Addis Ababa City Administration,Gulele Sub City,Gulele Sub City,fP7LbnZr3ef,Nehase 2016,26.0,81.0,374.0,21.6,2024-08-07,2024-09-05,2024 Aug
Addis Ababa City Administration,Gulele Sub City,Gulele Sub City,fP7LbnZr3ef,Sene 2017,7.0,65.0,226.0,28.634361233480178,2025-06-08,2025-07-07,2025 Jun
Addis Ababa City Administration,Gulele Sub City,Gulele Sub City,fP7LbnZr3ef,Tahesas 2017,19.0,88.0,322.0,27.24458204334365,2024-12-10,2025-01-08,2024 Dec
Addis Ababa City Administration,Gulele Sub City,Gulele Sub City,fP7LbnZr3ef,Tikemet 2017,56.0,206.0,478.0,43.0062630480167,2024-10-11,2024-11-09,2024 Oct
Addis Ababa City Administration,Gulele Sub City,Gulele Sub City,fP7LbnZr3ef,Tir 2017,17.0,69.0,261.0,26.33587786259542,2025-01-09,2025-02-07,2025 Jan
Addis Ababa City Administration,Gulele Sub City,Gulele Sub City,fP7LbnZr3ef,Yekatit 2017,23.0,85.0,301.0,28.14569536423841,2025-02-08,2025-03-09,2025 Feb
Addis Ababa City Administration,Kirkos Sub City,Kirkos Sub City,aeTzP0ST2hq,Ginbot 2017,13.0,62.0,780.0,7.93854033290653,2025-05-09,2025-06-07,2025 May
Addis Ababa City Administration,Kirkos Sub City,Kirkos Sub City,aeTzP0ST2hq,Hamle 2016,0.0,138.0,871.0,15.825688073394495,2024-07-08,2024-08-06,2024 Jul
Addis Ababa City Administration,Kirkos Sub City,Kirkos Sub City,aeTzP0ST2hq,Hidar 2017,12.0,145.0,1128.0,12.843224092116918,2024-11-10,2024-12-09,2024 Nov
Addis Ababa City Administration,Kirkos Sub City,Kirkos Sub City,aeTzP0ST2hq,Megabit 2017,12.0,58.0,804.0,7.204968944099378,2025-03-10,2025-04-08,2025 Mar
Addis Ababa City Administration,Kirkos Sub City,Kirkos Sub City,aeTzP0ST2hq,Meskerem 2017,11.0,185.0,1172.0,15.77152600170503,2024-09-11,2024-10-10,2024 Sept
Addis Ababa City Administration,Kirkos Sub City,Kirkos Sub City,aeTzP0ST2hq,Miazia 2017,3.0,54.0,801.0,6.733167082294264,2025-04-09,2025-05-08,2025 Apr
Addis Ababa City Administration,Kirkos Sub City,Kirkos Sub City,aeTzP0ST2hq,Nehase 2016,5.0,135.0,1227.0,10.993485342019545,2024-08-07,2024-09-05,2024 Aug
Addis Ababa City Administration,Kirkos Sub City,Kirkos Sub City,aeTzP0ST2hq,Sene 2017,6.0,65.0,653.0,9.938837920489297,2025-06-08,2025-07-07,2025 Jun
Addis Ababa City Administration,Kirkos Sub City,Kirkos Sub City,aeTzP0ST2hq,Tahesas 2017,1.0,119.0,874.0,13.6,2024-12-10,2025-01-08,2024 Dec
Addis Ababa City Administration,Kirkos Sub City,Kirkos Sub City,aeTzP0ST2hq,Tikemet 2017,3.0,250.0,1273.0,19.62323390894819,2024-10-11,2024-11-09,2024 Oct
Addis Ababa City Administration,Kirkos Sub City,Kirkos Sub City,aeTzP0ST2hq,Tir 2017,11.0,85.0,699.0,12.142857142857142,2025-01-09,2025-02-07,2025 Jan
Addis Ababa City Administration,Kirkos Sub City,Kirkos Sub City,aeTzP0ST2hq,Yekatit 2017,2.0,55.0,761.0,7.217847769028872,2025-02-08,2025-03-09,2025 Feb
Addis Ababa City Administration,Kolfe Subcity,Kolfe Subcity,R6nsx1xB8wq,Ginbot 2017,39.0,117.0,617.0,18.932038834951456,2025-05-09,2025-06-07,2025 May
Addis Ababa City Administration,Kolfe Subcity,Kolfe Subcity,R6nsx1xB8wq,Hamle 2016,18.0,179.0,900.0,19.866814650388456,2024-07-08,2024-08-06,2024 Jul
Addis Ababa City Administration,Kolfe Subcity,Kolfe Subcity,R6nsx1xB8wq,Hidar 2017,19.0,208.0,1182.0,17.582417582417584,2024-11-10,2024-12-09,2024 Nov
Addis Ababa City Administration,Kolfe Subcity,Kolfe Subcity,R6nsx1xB8wq,Megabit 2017,3.0,58.0,749.0,7.733333333333333,2025-03-10,2025-04-08,2025 Mar
Addis Ababa City Administration,Kolfe Subcity,Kolfe Subcity,R6nsx1xB8wq,Meskerem 2017,3.0,176.0,1152.0,15.264527320034691,2024-09-11,2024-10-10,2024 Sept
Addis Ababa City Administration,Kolfe Subcity,Kolfe Subcity,R6nsx1xB8wq,Miazia 2017,27.0,99.0,701.0,14.102564102564102,2025-04-09,2025-05-08,2025 Apr
Addis Ababa City Administration,Kolfe Subcity,Kolfe Subcity,R6nsx1xB8wq,Nehase 2016,0.0,147.0,1227.0,11.970684039087947,2024-08-07,2024-09-05,2024 Aug
Addis Ababa City Administration,Kolfe Subcity,Kolfe Subcity,R6nsx1xB8wq,Sene 2017,7.0,76.0,740.0,10.256410256410255,2025-06-08,2025-07-07,2025 Jun
Addis Ababa City Administration,Kolfe Subcity,Kolfe Subcity,R6nsx1xB8wq,Tahesas 2017,43.0,141.0,995.0,14.156626506024098,2024-12-10,2025-01-08,2024 Dec
Addis Ababa City Administration,Kolfe Subcity,Kolfe Subcity,R6nsx1xB8wq,Tikemet 2017,18.0,319.0,1257.0,25.357710651828295,2024-10-11,2024-11-09,2024 Oct
Addis Ababa City Administration,Kolfe Subcity,Kolfe Subcity,R6nsx1xB8wq,Tir 2017,35.0,85.0,771.0,11.010362694300518,2025-01-09,2025-02-07,2025 Jan
Addis Ababa City Administration,Kolfe Subcity,Kolfe Subcity,R6nsx1xB8wq,Yekatit 2017,37.0,88.0,706.0,12.446958981612449,2025-02-08,2025-03-09,2025 Feb
Addis Ababa City Administration,Lemi Kura Sub City,Lemi Kura Sub City,j59J2d3Ym3C,Ginbot 2017,52.0,132.0,1091.0,12.087912087912088,2025-05-09,2025-06-07,2025 May
Addis Ababa City Administration,Lemi Kura Sub City,Lemi Kura Sub City,j59J2d3Ym3C,Hamle 2016,17.0,248.0,1449.0,17.103448275862068,2024-07-08,2024-08-06,2024 Jul
Addis Ababa City Administration,Lemi Kura Sub City,Lemi Kura Sub City,j59J2d3Ym3C,Hidar 2017,47.0,289.0,1533.0,18.839634941329855,2024-11-10,2024-12-09,2024 Nov
Addis Ababa City Administration,Lemi Kura Sub City,Lemi Kura Sub City,j59J2d3Ym3C,Megabit 2017,93.0,171.0,1235.0,13.834951456310678,2025-03-10,2025-04-08,2025 Mar
Addis Ababa City Administration,Lemi Kura Sub City,Lemi Kura Sub City,j59J2d3Ym3C,Meskerem 2017,30.0,161.0,1446.0,11.126468555632345,2024-09-11,2024-10-10,2024 Sept
Addis Ababa City Administration,Lemi Kura Sub City,Lemi Kura Sub City,j59J2d3Ym3C,Miazia 2017,56.0,145.0,1166.0,12.425021422450728,2025-04-09,2025-05-08,2025 Apr
