Region,Zone,Woreda,Period,Latitude,Longitude,Elevation_m,MaxTemp_C,MinTemp_C,AvgTemp_C,Rainfall_mm,Humidity_pct,organisationunitid,Eth_Month_Year,Travel,Positive,Tests,Positivity_Rate,Period_Gregorian_start,Period_Gregorian_end,ADM3_PCODE,climate_source
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,2022 May,9.0415,38.7063,2483.1,22.8,12.8,17.8,42.434,44.9,JgBKioqJo5h,Ginbot 2014,10.0,23.0,283.0,8.098591549295776,2022-05-09,2022-06-07,ET140108,direct
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,2021 Jul,9.0415,38.7063,2483.1,19.12,9.12,14.12,298.908,87.3,JgBKioqJo5h,Hamle 2013,3.0,16.0,183.0,8.695652173913043,2021-07-08,2021-08-06,ET140108,direct
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,2021 Nov,9.0415,38.7063,2483.1,19.44,9.44,14.44,8.192,48.2,JgBKioqJo5h,Hidar 2014,2.0,15.0,229.0,6.521739130434782,2021-11-10,2021-12-09,ET140108,direct
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,2022 Mar,9.0415,38.7063,2483.1,22.25,12.25,17.25,33.155,44.7,JgBKioqJo5h,Megabit 2014,6.0,33.0,257.0,12.790697674418606,2022-03-10,2022-04-08,ET140108,direct
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,2021 Sept,9.0415,38.7063,2483.1,19.2,9.2,14.2,124.695,78.9,JgBKioqJo5h,Meskerem 2014,0.0,26.0,225.0,11.50442477876106,2021-09-11,2021-10-10,ET140108,direct
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,2022 Apr,9.0415,38.7063,2483.1,22.64,12.64,17.64,35.657,47.7,JgBKioqJo5h,Miazia 2014,19.0,20.0,250.0,7.968127490039841,2022-04-09,2022-05-08,ET140108,direct
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,2021 Aug,9.0415,38.7063,2483.1,19.4,9.4,14.4,293.152,86.3,JgBKioqJo5h,Nehase 2013,2.0,22.0,222.0,9.865470852017935,2021-08-07,2021-09-05,ET140108,direct
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,2022 Jun,9.0415,38.7063,2483.1,20.11,10.11,15.11,185.029,75.9,JgBKioqJo5h,Sene 2014,5.0,43.0,322.0,13.312693498452012,2022-06-08,2022-07-07,ET140108,direct
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,2021 Dec,9.0415,38.7063,2483.1,19.75,9.75,14.75,16.193,47.2,JgBKioqJo5h,Tahesas 2014,6.0,17.0,214.0,7.906976744186046,2021-12-10,2022-01-08,ET140108,direct
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,2021 Oct,9.0415,38.7063,2483.1,18.95,8.95,13.95,28.629,62.3,JgBKioqJo5h,Tikemet 2014,2.0,24.0,287.0,8.333333333333332,2021-10-11,2021-11-09,ET140108,direct
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,2022 Jan,9.0415,38.7063,2483.1,20.28,10.28,15.28,31.143,48.9,JgBKioqJo5h,Tir 2014,6.0,21.0,213.0,9.813084112149532,2022-01-09,2022-02-07,ET140108,direct
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,2022 Feb,9.0415,38.7063,2483.1,21.58,11.58,16.58,14.526,42.6,JgBKioqJo5h,Yekatit 2014,2.0,23.0,209.0,10.952380952380953,2022-02-08,2022-03-09,ET140108,direct
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,2022 May,8.8968,38.804,2159.8,24.31,14.31,19.31,57.359,45.0,IRwFTUG9H8c,Ginbot 2014,0.0,25.0,222.0,11.210762331838566,2022-05-09,2022-06-07,ET140101,direct
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,2021 Jul,8.8968,38.804,2159.8,20.5,10.5,15.5,242.884,86.3,IRwFTUG9H8c,Hamle 2013,0.0,13.0,117.0,11.016949152542372,2021-07-08,2021-08-06,ET140101,direct
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,2021 Nov,8.8968,38.804,2159.8,20.56,10.56,15.56,4.117,48.7,IRwFTUG9H8c,Hidar 2014,0.0,22.0,262.0,8.365019011406844,2021-11-10,2021-12-09,ET140101,direct
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,2022 Mar,8.8968,38.804,2159.8,23.84,13.84,18.84,25.669,43.7,IRwFTUG9H8c,Megabit 2014,0.0,18.0,215.0,8.333333333333332,2022-03-10,2022-04-08,ET140101,direct
