Region,Zone,Woreda,Period,Latitude,Longitude,Elevation_m,MaxTemp_C,MinTemp_C,AvgTemp_C,Rainfall_mm,Humidity_pct,organisationunitid,Eth_Month_Year,Travel,Positive,Tests,Positivity_Rate,Period_Gregorian_start,Period_Gregorian_end,ADM3_PCODE,climate_source
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,2023 May,9.0415,38.7063,2483.1,20.59,10.59,15.59,84.701,79.5,JgBKioqJo5h,Ginbot 2015,13.0,42.0,443.0,9.45945945945946,2023-05-09,2023-06-07,ET140108,direct
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,2022 Jul,9.0415,38.7063,2483.1,19.05,9.05,14.05,300.065,87.5,JgBKioqJo5h,Hamle 2014,4.0,26.0,369.0,7.027027027027027,2022-07-08,2022-08-06,ET140108,direct
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,2022 Nov,9.0415,38.7063,2483.1,19.33,9.33,14.33,7.585,51.4,JgBKioqJo5h,Hidar 2015,3.0,27.0,416.0,6.474820143884892,2022-11-10,2022-12-09,ET140108,direct
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,2023 Mar,9.0415,38.7063,2483.1,20.64,10.64,15.64,121.485,69.6,JgBKioqJo5h,Megabit 2015,8.0,64.0,528.0,12.098298676748582,2023-03-10,2023-04-08,ET140108,direct
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,2022 Sept,9.0415,38.7063,2483.1,19.18,9.18,14.18,142.951,77.4,JgBKioqJo5h,Meskerem 2015,0.0,47.0,402.0,11.662531017369728,2022-09-11,2022-10-10,ET140108,direct
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,2023 Apr,9.0415,38.7063,2483.1,20.72,10.72,15.72,106.747,75.1,JgBKioqJo5h,Miazia 2015,25.0,43.0,524.0,8.190476190476192,2023-04-09,2023-05-08,ET140108,direct
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,2022 Aug,9.0415,38.7063,2483.1,19.2,9.2,14.2,291.623,86.5,JgBKioqJo5h,Nehase 2014,4.0,42.0,379.0,11.052631578947368,2022-08-07,2022-09-05,ET140108,direct
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,2023 Jun,9.0415,38.7063,2483.1,20.17,10.17,15.17,144.517,81.4,JgBKioqJo5h,Sene 2015,8.0,75.0,667.0,11.22754491017964,2023-06-08,2023-07-07,ET140108,direct
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,2022 Dec,9.0415,38.7063,2483.1,19.35,9.35,14.35,10.578,49.8,JgBKioqJo5h,Tahesas 2015,7.0,34.0,396.0,8.564231738035264,2022-12-10,2023-01-08,ET140108,direct
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,2022 Oct,9.0415,38.7063,2483.1,19.23,9.23,14.23,26.462,60.2,JgBKioqJo5h,Tikemet 2015,3.0,45.0,573.0,7.8397212543554,2022-10-11,2022-11-09,ET140108,direct
