Region,Zone,Woreda,Period,Latitude,Longitude,Elevation_m,MaxTemp_C,MinTemp_C,AvgTemp_C,Rainfall_mm,Humidity_pct,organisationunitid,Eth_Month_Year,Travel,Positive,Tests,Positivity_Rate,Period_Gregorian_start,Period_Gregorian_end,ADM3_PCODE,climate_source
Addis Ababa City Administration,Bole Sub City,Bole Sub City,2025 Nov,8.9744,38.8093,2279.0,20.28,10.28,15.28,6.235,48.2,Bqq3KNXFksZ,Hidar 2018,212.0,110.0,581.0,18.900343642611684,2025-11-10,2025-12-09,ET140104,direct
Addis Ababa City Administration,Bole Sub City,Bole Sub City,2025 Sept,8.9744,38.8093,2279.0,19.93,9.93,14.93,162.366,77.2,Bqq3KNXFksZ,Meskerem 2018,52.0,78.0,437.0,17.80821917808219,2025-09-11,2025-10-10,ET140104,direct
Addis Ababa City Administration,Bole Sub City,Bole Sub City,2025 Aug,8.9744,38.8093,2279.0,19.67,9.67,14.67,308.101,86.7,Bqq3KNXFksZ,Nehase 2017,38.0,61.0,441.0,13.800904977375566,2025-08-07,2025-09-05,ET140104,direct
Addis Ababa City Administration,Bole Sub City,Bole Sub City,2025 Dec,8.9744,38.8093,2279.0,20.56,10.56,15.56,8.468,50.9,Bqq3KNXFksZ,Tahesas 2018,51.0,67.0,389.0,17.17948717948718,2025-12-10,2026-01-08,ET140104,direct
Addis Ababa City Administration,Bole Sub City,Bole Sub City,2025 Oct,8.9744,38.8093,2279.0,19.88,9.88,14.88,26.815,57.9,Bqq3KNXFksZ,Tikemet 2018,235.0,113.0,560.0,20.14260249554367,2025-10-11,2025-11-09,ET140104,direct
Addis Ababa City Administration,Bole Sub City,Bole Sub City,2026 Jan,8.9744,38.8093,2279.0,20.86,10.86,15.86,9.667,44.0,Bqq3KNXFksZ,Tir 2018,12.0,59.0,314.0,18.73015873015873,2026-01-09,2026-02-07,ET140104,direct
Addis Ababa City Administration,Gulele Sub City,Gulele Sub City,2025 Jul,9.0707,38.7392,2675.6,18.46,8.46,13.46,300.387,87.7,fP7LbnZr3ef,Hamle 2017,45.0,39.0,129.0,30.0,2025-07-08,2025-08-06,ET140110,direct
Addis Ababa City Administration,Gulele Sub City,Gulele Sub City,2025 Nov,9.0707,38.7392,2675.6,18.72,8.72,13.72,3.203,48.7,fP7LbnZr3ef,Hidar 2018,10.0,51.0,189.0,26.842105263157897,2025-11-10,2025-12-09,ET140110,direct
Addis Ababa City Administration,Gulele Sub City,Gulele Sub City,2025 Sept,9.0707,38.7392,2675.6,18.29,8.29,13.29,174.929,78.4,fP7LbnZr3ef,Meskerem 2018,34.0,36.0,164.0,21.818181818181817,2025-09-11,2025-10-10,ET140110,direct
Addis Ababa City Administration,Gulele Sub City,Gulele Sub City,2025 Aug,9.0707,38.7392,2675.6,18.07,8.07,13.07,334.154,88.1,fP7LbnZr3ef,Nehase 2017,36.0,31.0,158.0,19.49685534591195,2025-08-07,2025-09-05,ET140110,direct
