Region,Zone,Woreda,Period,Latitude,Longitude,Elevation_m,MaxTemp_C,MinTemp_C,AvgTemp_C,Rainfall_mm,Humidity_pct,organisationunitid,Eth_Month_Year,Travel,Positive,Tests,Positivity_Rate,Period_Gregorian_start,Period_Gregorian_end,ADM3_PCODE,climate_source
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,2024 May,9.0415,38.7063,2483.1,22.19,12.19,17.19,44.823,64.9,JgBKioqJo5h,Ginbot 2016,17.0,89.0,823.0,10.800970873786406,2024-05-09,2024-06-07,ET140108,direct
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,2023 Jul,9.0415,38.7063,2483.1,19.97,9.97,14.97,287.966,86.4,JgBKioqJo5h,Hamle 2015,5.0,53.0,672.0,7.87518573551263,2023-07-08,2023-08-06,ET140108,direct
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,2023 Nov,9.0415,38.7063,2483.1,20.02,10.02,15.02,9.81,54.9,JgBKioqJo5h,Hidar 2016,4.0,59.0,748.0,7.87716955941255,2023-11-11,2023-12-10,ET140108,direct
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,2024 Mar,9.0415,38.7063,2483.1,22.5,12.5,17.5,77.39,60.5,JgBKioqJo5h,Megabit 2016,11.0,121.0,816.0,14.81028151774786,2024-03-10,2024-04-08,ET140108,direct
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,2023 Sept,9.0415,38.7063,2483.1,20.12,10.12,15.12,151.68,76.2,JgBKioqJo5h,Meskerem 2016,0.0,98.0,737.0,13.279132791327914,2023-09-12,2023-10-11,ET140108,direct
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,2024 Apr,9.0415,38.7063,2483.1,22.28,12.28,17.28,78.047,68.6,JgBKioqJo5h,Miazia 2016,33.0,83.0,877.0,9.453302961275629,2024-04-09,2024-05-08,ET140108,direct
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,2023 Aug,9.0415,38.7063,2483.1,19.92,9.92,14.92,245.431,85.4,JgBKioqJo5h,Nehase 2015,5.0,83.0,700.0,11.840228245363766,2023-08-07,2023-09-05,ET140108,direct
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,2024 Jun,9.0415,38.7063,2483.1,21.04,11.04,16.04,165.241,73.3,JgBKioqJo5h,Sene 2016,10.0,152.0,1062.0,14.299153339604892,2024-06-08,2024-07-07,ET140108,direct
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,2023 Dec,9.0415,38.7063,2483.1,20.81,10.81,15.81,10.109,48.7,JgBKioqJo5h,Tahesas 2016,10.0,65.0,701.0,9.25925925925926,2023-12-11,2024-01-09,ET140108,direct
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,2023 Oct,9.0415,38.7063,2483.1,20.15,10.15,15.15,15.369,60.6,JgBKioqJo5h,Tikemet 2016,4.0,88.0,945.0,9.30232558139535,2023-10-12,2023-11-10,ET140108,direct
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,2024 Jan,9.0415,38.7063,2483.1,21.59,11.59,16.59,31.197,50.1,JgBKioqJo5h,Tir 2016,11.0,87.0,678.0,12.812960235640649,2024-01-10,2024-02-08,ET140108,direct
Addis Ababa City Administration,Addis Ketema Sub City,Addis Ketema Sub City,2024 Feb,9.0415,38.7063,2483.1,22.22,12.22,17.22,68.373,53.7,JgBKioqJo5h,Yekatit 2016,4.0,96.0,732.0,13.096862210095498,2024-02-09,2024-03-09,ET140108,direct
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,2024 May,8.8968,38.804,2159.8,23.89,13.89,18.89,72.988,63.0,IRwFTUG9H8c,Ginbot 2016,0.0,91.0,772.0,11.772315653298836,2024-05-09,2024-06-07,ET140101,direct
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,2023 Jul,8.8968,38.804,2159.8,21.46,11.46,16.46,236.741,84.6,IRwFTUG9H8c,Hamle 2015,0.0,50.0,444.0,11.235955056179774,2023-07-08,2023-08-06,ET140101,direct
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,2023 Nov,8.8968,38.804,2159.8,21.05,11.05,16.05,5.153,56.1,IRwFTUG9H8c,Hidar 2016,0.0,83.0,823.0,10.072815533980584,2023-11-11,2023-12-10,ET140101,direct
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,2024 Mar,8.8968,38.804,2159.8,24.28,14.28,19.28,83.792,58.2,IRwFTUG9H8c,Megabit 2016,0.0,78.0,730.0,10.6703146374829,2024-03-10,2024-04-08,ET140101,direct
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,2023 Sept,8.8968,38.804,2159.8,21.75,11.75,16.75,126.739,74.6,IRwFTUG9H8c,Meskerem 2016,0.0,57.0,546.0,10.420475319926874,2023-09-12,2023-10-11,ET140101,direct
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,2024 Apr,8.8968,38.804,2159.8,23.8,13.8,18.8,82.471,67.8,IRwFTUG9H8c,Miazia 2016,7.0,51.0,663.0,7.680722891566265,2024-04-09,2024-05-08,ET140101,direct
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,2023 Aug,8.8968,38.804,2159.8,21.57,11.57,16.57,201.905,83.0,IRwFTUG9H8c,Nehase 2015,2.0,38.0,428.0,8.857808857808857,2023-08-07,2023-09-05,ET140101,direct
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,2024 Jun,8.8968,38.804,2159.8,22.75,12.75,17.75,159.349,70.8,IRwFTUG9H8c,Sene 2016,6.0,166.0,970.0,17.09577754891864,2024-06-08,2024-07-07,ET140101,direct
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,2023 Dec,8.8968,38.804,2159.8,22.02,12.02,17.02,4.028,48.9,IRwFTUG9H8c,Tahesas 2016,7.0,46.0,684.0,6.715328467153285,2023-12-11,2024-01-09,ET140101,direct
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,2023 Oct,8.8968,38.804,2159.8,21.47,11.47,16.47,9.588,60.6,IRwFTUG9H8c,Tikemet 2016,6.0,87.0,664.0,13.082706766917292,2023-10-12,2023-11-10,ET140101,direct
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,2024 Jan,8.8968,38.804,2159.8,23.04,13.04,18.04,23.099,49.2,IRwFTUG9H8c,Tir 2016,3.0,76.0,609.0,12.459016393442624,2024-01-10,2024-02-08,ET140101,direct
Addis Ababa City Administration,Akaki Kality Sub City,Akaki Kality Sub City,2024 Feb,8.8968,38.804,2159.8,23.98,13.98,18.98,73.215,51.2,IRwFTUG9H8c,Yekatit 2016,0.0,74.0,742.0,9.959623149394348,2024-02-09,2024-03-09,ET140101,direct
Addis Ababa City Administration,Arada Sub City,Arada Sub City,2024 May,9.0353,38.7559,2445.6,22.62,12.62,17.62,59.779,65.1,ZDlhLE4uVcy,Ginbot 2016,1.0,65.0,365.0,17.759562841530055,2024-05-09,2024-06-07,ET140109,direct
Addis Ababa City Administration,Arada Sub City,Arada Sub City,2023 Jul,9.0353,38.7559,2445.6,20.48,10.48,15.48,269.227,86.3,ZDlhLE4uVcy,Hamle 2015,0.0,30.0,164.0,18.181818181818183,2023-07-08,2023-08-06,ET140109,direct
Addis Ababa City Administration,Arada Sub City,Arada Sub City,2023 Nov,9.0353,38.7559,2445.6,20.19,10.19,15.19,8.487,56.1,ZDlhLE4uVcy,Hidar 2016,0.0,27.0,256.0,10.505836575875486,2023-11-11,2023-12-10,ET140109,direct
Addis Ababa City Administration,Arada Sub City,Arada Sub City,2024 Mar,9.0353,38.7559,2445.6,22.86,12.86,17.86,78.379,61.6,ZDlhLE4uVcy,Megabit 2016,1.0,44.0,285.0,15.384615384615383,2024-03-10,2024-04-08,ET140109,direct
Addis Ababa City Administration,Arada Sub City,Arada Sub City,2023 Sept,9.0353,38.7559,2445.6,20.67,10.67,15.67,137.182,75.8,ZDlhLE4uVcy,Meskerem 2016,0.0,45.0,230.0,19.480519480519483,2023-09-12,2023-10-11,ET140109,direct
Addis Ababa City Administration,Arada Sub City,Arada Sub City,2024 Apr,9.0353,38.7559,2445.6,22.57,12.57,17.57,75.47,69.9,ZDlhLE4uVcy,Miazia 2016,2.0,53.0,276.0,19.133574007220215,2024-04-09,2024-05-08,ET140109,direct
Addis Ababa City Administration,Arada Sub City,Arada Sub City,2023 Aug,9.0353,38.7559,2445.6,20.51,10.51,15.51,234.799,84.9,ZDlhLE4uVcy,Nehase 2015,0.0,36.0,249.0,14.4,2023-08-07,2023-09-05,ET140109,direct
Addis Ababa City Administration,Arada Sub City,Arada Sub City,2024 Jun,9.0353,38.7559,2445.6,21.53,11.53,16.53,169.938,73.1,ZDlhLE4uVcy,Sene 2016,3.0,81.0,388.0,20.822622107969153,2024-06-08,2024-07-07,ET140109,direct
Addis Ababa City Administration,Arada Sub City,Arada Sub City,2023 Dec,9.0353,38.7559,2445.6,21.1,11.1,16.1,6.635,50.0,ZDlhLE4uVcy,Tahesas 2016,0.0,26.0,243.0,10.655737704918032,2023-12-11,2024-01-09,ET140109,direct
Addis Ababa City Administration,Arada Sub City,Arada Sub City,2023 Oct,9.0353,38.7559,2445.6,20.46,10.46,15.46,13.094,61.0,ZDlhLE4uVcy,Tikemet 2016,15.0,29.0,222.0,13.004484304932737,2023-10-12,2023-11-10,ET140109,direct
Addis Ababa City Administration,Arada Sub City,Arada Sub City,2024 Jan,9.0353,38.7559,2445.6,21.95,11.95,16.95,27.214,51.2,ZDlhLE4uVcy,Tir 2016,3.0,40.0,196.0,20.304568527918786,2024-01-10,2024-02-08,ET140109,direct
Addis Ababa City Administration,Arada Sub City,Arada Sub City,2024 Feb,9.0353,38.7559,2445.6,22.62,12.62,17.62,72.367,54.4,ZDlhLE4uVcy,Yekatit 2016,1.0,42.0,253.0,16.535433070866144,2024-02-09,2024-03-09,ET140109,direct
Addis Ababa City Administration,Bole Sub City,Bole Sub City,2024 May,8.9744,38.8093,2279.0,22.62,12.62,17.62,70.53,65.1,Bqq3KNXFksZ,Ginbot 2016,12.0,82.0,875.0,9.360730593607306,2024-05-09,2024-06-07,ET140104,direct
