organisationunitname,region_malaria,zone_malaria,normalized,top3_candidates,ADM3_PCODE_suggested,ADM3_PCODE_final,note
Mao Komo Zone,Benishangul Gumuz Region,Mao Komo Zone,mao komo zone,Maokomo Special|Benishangul Gumz/Mao Komo Special|ET060508|score=77 ;; Kobo town|Amhara/North Wello|ET030399|score=67 ;; Gonje|Amhara/West Gojam|ET030718|score=67,,ET060508,auto:in_region(score=77) -> Maokomo Special
Pawi Woreda,Benishangul Gumuz Region,Metekel Zone,pawi,Merawi town|Amhara/West Gojam|ET030797|score=77 ;; Liban Jawi|Oromia/West Shewa|ET040597|score=77 ;; Jawi|Amhara/Awi|ET030906|score=75,,ET060206,override: Pawe (i/e transliteration variant)
Buee Town,Central Ethiopian Region,East Gurage Zone,buee,Bure (AM)|Amhara/West Gojam|ET030710|score=75 ;; Bule|Southern Ethiopi/Gedeo|ET070504|score=75 ;; Beyeda|Amhara/North Gondar|ET030102|score=67,,,auto:no_match_above_floor -> null climate
Ennseno Town,Central Ethiopian Region,East Gurage Zone,ennseno,Nenesebo|Oromia/West Arsi|ET041709|score=66 ;; Ensaro|Amhara/North Shewa (AM)|ET030503|score=61 ;; Bedeno|Oromia/East Hararge|ET041013|score=61,,,auto:no_match_above_floor -> null climate
Agena Town,Central Ethiopian Region,Gurage Zone,agena,Gena|South West Ethiopia/Dawuro|ET110404|score=88 ;; Doyogena|Central Ethiopia/Kembata Tembaro|ET070306|score=80 ;; Amigna|Oromia/Arsi|ET040810|score=72,,ET070306,auto:in_region(score=80) -> Doyogena
Arekit Town,Central Ethiopian Region,Gurage Zone,arekit,Lare|Gambela/Nuwer|ET120102|score=77 ;; Areka town|Southern Ethiopi/Wolayita|ET070614|score=72 ;; Police Maret|Dire Dawa/Dire Dawa urban|ET150114|score=72,,,auto:no_match_above_floor -> null climate
Emdibir Town,Central Ethiopian Region,Gurage Zone,emdibir,[SUGGESTED] Emdebir town|Central Ethiopia/Guraghe|ET070116|score=85 ;; Emdebir town|Central Ethiopia/Guraghe|ET070116|score=85 ;; Menze Gera Midir|Amhara/North Shewa (AM)|ET030505|score=61 ;; Menze Mama Midir|Amhara/North Shewa (AM)|ET030509|score=61,ET070116,ET070116,auto:suggested(82-87)
Endegagn Woreda,Central Ethiopian Region,Gurage Zone,endegagn,[SUGGESTED] Endiguagn|Central Ethiopia/Guraghe|ET070108|score=82 ;; Dega|Oromia/Buno Bedele|ET041604|score=90 ;; Endiguagn|Central Ethiopia/Guraghe|ET070108|score=82 ;; Dera (AM)|Amhara/South Gondar|ET030209|score=67,ET070108,ET070108,auto:suggested(82-87)
Gunchire Town,Central Ethiopian Region,Gurage Zone,gunchire,Chire|Sidama/Sidama|ET160014|score=90 ;; Guna|Oromia/Arsi|ET040819|score=77 ;; Sire|Oromia/Arsi|ET040820|score=77,,ET160014,auto:global(score=90) -> Chire
Wolkite Town,Central Ethiopian Region,Gurage Zone,wolkite,[SUGGESTED] Welkite town|Central Ethiopia/Guraghe|ET070114|score=85 ;; Welkite town|Central Ethiopia/Guraghe|ET070114|score=85 ;; Meta Walkite|Oromia/West Shewa|ET040594|score=77 ;; Welkait|Tigray/Western|ET010502|score=71,ET070114,ET070114,auto:suggested(82-87)
