organisationunitname,region_malaria,zone_malaria,match_type,confidence,ADM3_PCODE,ADM3_EN_ref,ADM2_EN_ref,ADM1_EN_ref
Ginnir Woreda,Oromia Region,East Bale Zone,fuzzy_in_cohort,90,ET042103,Ginir,East Bale,Oromia
Gololcha Woreda,Oromia Region,East Bale Zone,fuzzy_in_cohort,93,ET040803,Golocha,Arsi,Oromia
Rayitu Woreda,Oromia Region,East Bale Zone,exact_in_cohort,100,ET042104,Rayitu,East Bale,Oromia
Sewena Woreda,Oromia Region,East Bale Zone,fuzzy_in_cohort,92,ET042105,Seweyna,East Bale,Oromia
Arero Woreda,Oromia Region,East Borena Zone,exact_in_cohort,100,ET041208,Arero,Borena,Oromia
Goro Dola Woreda,Oromia Region,East Borena Zone,fuzzy_in_cohort,88,ET041413,Gora Dola,Guji,Oromia
Liben Woreda,Oromia Region,East Borena Zone,exact_in_cohort,100,ET041407,Liben,Guji,Oromia
Negele Borena Town,Oromia Region,East Borena Zone,fuzzy_in_cohort,90,ET041402,Bore,Guji,Oromia
Wachile Woreda,Oromia Region,East Borena Zone,exact_in_cohort,100,ET041298,Wachile,Borena,Oromia
Babile Town,Oromia Region,East Hararge Zone,exact_in_cohort,100,ET041000,Babile town,East Hararge,Oromia
Babile Woreda,Oromia Region,East Hararge Zone,exact_in_cohort,100,ET041000,Babile town,East Hararge,Oromia
Bedeno Woreda,Oromia Region,East Hararge Zone,exact_in_cohort,100,ET041013,Bedeno,East Hararge,Oromia
Chinaksen Woreda,Oromia Region,East Hararge Zone,exact_in_cohort,100,ET041015,Chinaksen,East Hararge,Oromia
Deder Town,Oromia Region,East Hararge Zone,exact_in_cohort,100,ET041011,Deder,East Hararge,Oromia
Deder Woreda,Oromia Region,East Hararge Zone,exact_in_cohort,100,ET041011,Deder,East Hararge,Oromia
Fedis Woreda,Oromia Region,East Hararge Zone,exact_in_cohort,100,ET041005,Fedis,East Hararge,Oromia
Girawa Woreda,Oromia Region,East Hararge Zone,exact_in_cohort,100,ET041016,Girawa,East Hararge,Oromia
Goro Gutu Woreda,Oromia Region,East Hararge Zone,exact_in_cohort,100,ET041010,Goro Gutu,East Hararge,Oromia
Goro Muti Woreda,Oromia Region,East Hararge Zone,exact_in_cohort,100,ET041089,Goro Muti,East Hararge,Oromia
Gursum Woreda,Oromia Region,East Hararge Zone,exact_in_cohort,100,ET041003,Gursum (OR),East Hararge,Oromia
Haromaya Woreda,Oromia Region,East Hararge Zone,exact_in_cohort,100,ET041019,Haromaya town,East Hararge,Oromia
Jarso Woreda,Oromia Region,East Hararge Zone,fuzzy_in_cohort,90,ET040108,Jarso (West Wellega),West Wellega,Oromia
Kersa Woreda,Oromia Region,East Hararge Zone,fuzzy_in_cohort,90,ET040405,Kersa (Jimma),Jimma,Oromia
Kombolcha Woreda,Oromia Region,East Hararge Zone,exact_in_cohort,100,ET041001,Kombolcha,East Hararge,Oromia
Kumbi Woreda,Oromia Region,East Hararge Zone,exact_in_cohort,100,ET041098,Kumbi,East Hararge,Oromia
Kurfa Chale Woreda,Oromia Region,East Hararge Zone,fuzzy_in_cohort,90,ET041007,Kurfa Chele,East Hararge,Oromia
Meta Woreda,Oromia Region,East Hararge Zone,exact_in_cohort,100,ET041009,Meta,East Hararge,Oromia
Midaga Tola Woreda,Oromia Region,East Hararge Zone,fuzzy_in_cohort,95,ET041014,Midhaga Tola,East Hararge,Oromia
Adaa Woreda,Oromia Region,East Shewa Zone,fuzzy_in_cohort,88,ET040703,Adama,East Shewa,Oromia
Adama Woreda,Oromia Region,East Shewa Zone,exact_in_cohort,100,ET040703,Adama,East Shewa,Oromia
Adami Tulu Jido Kombolcha Woreda,Oromia Region,East Shewa Zone,fuzzy_in_cohort,96,ET040708,Adama Tulu Jido Kombolcha,East Shewa,Oromia
Akaki Woreda,Oromia Region,East Shewa Zone,exact_in_cohort,100,ET042012,Akaki,Finfine Special,Oromia
Bora Woreda,Oromia Region,East Shewa Zone,exact_in_cohort,100,ET040710,Bora (OR),East Shewa,Oromia
Boset Woreda,Oromia Region,East Shewa Zone,exact_in_cohort,100,ET040702,Boset,East Shewa,Oromia
Dugda Woreda,Oromia Region,East Shewa Zone,exact_in_cohort,100,ET040707,Dugda,East Shewa,Oromia
Fentale Woreda,Oromia Region,East Shewa Zone,exact_in_cohort,100,ET040701,Fentale,East Shewa,Oromia
Gimbichu Woreda,Oromia Region,East Shewa Zone,exact_in_cohort,100,ET040705,Gimbichu,East Shewa,Oromia
Liben Woreda,Oromia Region,East Shewa Zone,exact_in_cohort,100,ET041407,Liben,Guji,Oromia
Metehara Town,Oromia Region,East Shewa Zone,exact_in_cohort,100,ET040799,Metehara town,East Shewa,Oromia
Boneya Boshe Woreda,Oromia Region,East Wellega Zone,exact_in_cohort,100,ET040205,Boneya Boshe,East Wellega,Oromia
Diga Woreda,Oromia Region,East Wellega Zone,exact_in_cohort,100,ET040210,Diga,East Wellega,Oromia
Gida Ayana Woreda,Oromia Region,East Wellega Zone,exact_in_cohort,100,ET040203,Gida Ayana,East Wellega,Oromia
Gobu Seyo Woreda,Oromia Region,East Wellega Zone,exact_in_cohort,100,ET040208,Gobu Seyo,East Wellega,Oromia
Guto Gida Woreda,Oromia Region,East Wellega Zone,exact_in_cohort,100,ET040213,Guto Gida,East Wellega,Oromia
Haro Limu Woreda,Oromia Region,East Wellega Zone,exact_in_cohort,100,ET040204,Haro Limu,East Wellega,Oromia
Jima Arjo Woreda,Oromia Region,East Wellega Zone,fuzzy_in_cohort,94,ET040214,Jimma Arjo,East Wellega,Oromia
Leka Dulecha Woreda,Oromia Region,East Wellega Zone,exact_in_cohort,100,ET040212,Leka Dulecha,East Wellega,Oromia
Limu Woreda,Oromia Region,East Wellega Zone,exact_in_cohort,100,ET040201,Limu (OR),East Wellega,Oromia
Nekemte Town Woreda,Oromia Region,East Wellega Zone,exact_in_cohort,100,ET040297,Nekemte town,East Wellega,Oromia
Nunu Kumba Woreda,Oromia Region,East Wellega Zone,exact_in_cohort,100,ET040215,Nunu Kumba,East Wellega,Oromia
Sasiga Woreda,Oromia Region,East Wellega Zone,exact_in_cohort,100,ET040211,Sasiga,East Wellega,Oromia
Sibu Sire Woreda,Oromia Region,East Wellega Zone,exact_in_cohort,100,ET040209,Sibu Sire,East Wellega,Oromia
Wama Hagalo Woreda,Oromia Region,East Wellega Zone,exact_in_cohort,100,ET040216,Wama Hagalo,East Wellega,Oromia
Wayu Tuqa Woreda,Oromia Region,East Wellega Zone,fuzzy_in_cohort,88,ET040206,Wayu Tuka,East Wellega,Oromia
Adola Rede Woreda,Oromia Region,Guji Zone,fuzzy_in_cohort,90,ET041403,Adola,Guji,Oromia
Adola Town,Oromia Region,Guji Zone,exact_in_cohort,100,ET041403,Adola,Guji,Oromia
Aga Wayu Woreda,Oromia Region,Guji Zone,exact_in_cohort,100,ET041482,Aga Wayu,Guji,Oromia
Ana Sora Woreda,Oromia Region,Guji Zone,exact_in_cohort,100,ET041411,Ana Sora,Guji,Oromia
Arda Jila Me`e Boko Woreda,Oromia Region,Guji Zone,fuzzy_in_cohort,90,ET041409,Arda Jila,Guji,Oromia
Bore Woreda,Oromia Region,Guji Zone,exact_in_cohort,100,ET041402,Bore,Guji,Oromia
Dama Woreda,Oromia Region,Guji Zone,exact_in_cohort,100,ET041408,Dama,Guji,Oromia
Girja Woreda,Oromia Region,Guji Zone,fuzzy_in_cohort,90,ET041410,Girja /Harenfema,Guji,Oromia
Haro Wolabu Woreda,Oromia Region,Guji Zone,fuzzy_in_cohort,90,ET041490,Haro Walabu,Guji,Oromia
Odo Shakiso Woreda,Oromia Region,Guji Zone,exact_in_cohort,100,ET041405,Odo Shakiso,Guji,Oromia
Saba Boru Woreda,Oromia Region,Guji Zone,exact_in_cohort,100,ET041412,Saba Boru,Guji,Oromia
Uraga Woreda,Oromia Region,Guji Zone,exact_in_cohort,100,ET041401,Uraga,Guji,Oromia
Abay Chomen Woreda,Oromia Region,Horo Guduru Wollega Zone,exact_in_cohort,100,ET041905,Abay Chomen,Horo Gudru Wellega,Oromia
Abe Dengoro Woreda,Oromia Region,Horo Guduru Wollega Zone,exact_in_cohort,100,ET041910,Abe Dongoro,Horo Gudru Wellega,Oromia
Amuru Woreda,Oromia Region,Horo Guduru Wollega Zone,exact_in_cohort,100,ET041909,Amuru,Horo Gudru Wellega,Oromia
Chomen Guduru Woreda,Oromia Region,Horo Guduru Wollega Zone,fuzzy_in_cohort,92,ET041911,Choman Guduru,Horo Gudru Wellega,Oromia
Guduru Woreda,Oromia Region,Horo Guduru Wollega Zone,exact_in_cohort,100,ET041903,Guduru,Horo Gudru Wellega,Oromia
Hababo Guduru Woreda,Oromia Region,Horo Guduru Wollega Zone,fuzzy_in_cohort,90,ET040111,Babo,West Wellega,Oromia
Horo Bulluk Woreda,Oromia Region,Horo Guduru Wollega Zone,fuzzy_in_cohort,95,ET041912,Horo Buluk,Horo Gudru Wellega,Oromia
Horo Woreda,Oromia Region,Horo Guduru Wollega Zone,exact_in_cohort,100,ET041901,Horo,Horo Gudru Wellega,Oromia
Jardga Jarte Woreda,Oromia Region,Horo Guduru Wollega Zone,fuzzy_in_cohort,91,ET041908,Jarte Jardega,Horo Gudru Wellega,Oromia
Jimma Geneti Woreda,Oromia Region,Horo Guduru Wollega Zone,fuzzy_in_cohort,91,ET041906,Jimma Genete,Horo Gudru Wellega,Oromia
Jimma Rare Woreda,Oromia Region,Horo Guduru Wollega Zone,exact_in_cohort,100,ET041907,Jimma Rare,Horo Gudru Wellega,Oromia
Shambu Town Woreda,Oromia Region,Horo Guduru Wollega Zone,exact_in_cohort,100,ET041902,Shambu town,Horo Gudru Wellega,Oromia
Ale Woreda,Oromia Region,Ilu Aba Bora Zone,exact_in_cohort,100,ET040311,Ale,Ilu Aba Bora,Oromia
Alge Sachi Woreda,Oromia Region,Ilu Aba Bora Zone,exact_in_cohort,100,ET040302,Alge Sachi,Ilu Aba Bora,Oromia
Becho Woreda,Oromia Region,Ilu Aba Bora Zone,fuzzy_in_cohort,90,ET040314,Becho (Ilu Aba Bora),Ilu Aba Bora,Oromia
Bilo Nopha Woreda,Oromia Region,Ilu Aba Bora Zone,exact_in_cohort,100,ET040315,Bilo Nopha,Ilu Aba Bora,Oromia
Bure Woreda,Oromia Region,Ilu Aba Bora Zone,exact_in_cohort,100,ET040312,Bure (OR),Ilu Aba Bora,Oromia
Darimu Woreda,Oromia Region,Ilu Aba Bora Zone,exact_in_cohort,100,ET040301,Darimu,Ilu Aba Bora,Oromia
Didu Woreda,Oromia Region,Ilu Aba Bora Zone,exact_in_cohort,100,ET040317,Didu,Ilu Aba Bora,Oromia
Halu Woreda,Oromia Region,Ilu Aba Bora Zone,fuzzy_in_cohort,90,ET040319,Halu /Huka,Ilu Aba Bora,Oromia
Hurumu Woreda,Oromia Region,Ilu Aba Bora Zone,exact_in_cohort,100,ET040316,Hurumu,Ilu Aba Bora,Oromia
Metu Rural Woreda,Oromia Region,Ilu Aba Bora Zone,fuzzy_in_cohort,90,ET040320,Metu town,Ilu Aba Bora,Oromia
Sale Nono Woreda,Oromia Region,Ilu Aba Bora Zone,exact_in_cohort,100,ET040313,Sale Nono,Ilu Aba Bora,Oromia
Botor Tolay Woreda,Oromia Region,Jimma Zone,exact_in_cohort,100,ET040495,Botor Tolay,Jimma,Oromia
Dedo Woreda,Oromia Region,Jimma Zone,exact_in_cohort,100,ET040410,Dedo,Jimma,Oromia
Gera Woreda,Oromia Region,Jimma Zone,exact_in_cohort,100,ET040408,Gera,Jimma,Oromia
Gomma Woreda,Oromia Region,Jimma Zone,fuzzy_in_cohort,88,ET040407,Goma,Jimma,Oromia
Gumay Woreda,Oromia Region,Jimma Zone,exact_in_cohort,100,ET040416,Gumay,Jimma,Oromia
Kersa Woreda,Oromia Region,Jimma Zone,fuzzy_in_cohort,90,ET040405,Kersa (Jimma),Jimma,Oromia
Limu Genet Town,Oromia Region,Jimma Zone,fuzzy_in_cohort,90,ET040201,Limu (OR),East Wellega,Oromia
Limu Kosa Woreda,Oromia Region,Jimma Zone,exact_in_cohort,100,ET040402,Limu Kosa,Jimma,Oromia
Limu Seka Woreda,Oromia Region,Jimma Zone,exact_in_cohort,100,ET040401,Limu Seka,Jimma,Oromia
Mana Woreda,Oromia Region,Jimma Zone,fuzzy_in_cohort,90,ET040101,Mana Sibu,West Wellega,Oromia
Nono Benja Woreda,Oromia Region,Jimma Zone,exact_in_cohort,100,ET040499,Nono Benja,Jimma,Oromia
Omo Beyem Woreda,Oromia Region,Jimma Zone,fuzzy_in_cohort,88,ET040491,Omo Beyam,Jimma,Oromia
Omo Nada Woreda,Oromia Region,Jimma Zone,exact_in_cohort,100,ET040411,Omo Nada,Jimma,Oromia
Seka Chekorsa Woreda,Oromia Region,Jimma Zone,exact_in_cohort,100,ET040409,Seka Chekorsa,Jimma,Oromia
Setema Woreda,Oromia Region,Jimma Zone,exact_in_cohort,100,ET040413,Setema,Jimma,Oromia
Sigmo Woreda,Oromia Region,Jimma Zone,exact_in_cohort,100,ET040412,Sigmo,Jimma,Oromia
Tiro Afeta,Oromia Region,Jimma Zone,exact_in_cohort,100,ET040404,Tiro Afeta,Jimma,Oromia
Anfilo Woreda,Oromia Region,Kelem Wellega Zone,exact_in_cohort,100,ET041807,Anfilo,Kelem Wellega,Oromia
Dale Sadi Woreda,Oromia Region,Kelem Wellega Zone,exact_in_cohort,100,ET041808,Dale Sadi,Kelem Wellega,Oromia
Dale Wabera Woreda,Oromia Region,Kelem Wellega Zone,exact_in_cohort,100,ET041803,Dale Wabera,Kelem Wellega,Oromia
Gawo Kebe Woreda,Oromia Region,Kelem Wellega Zone,exact_in_cohort,100,ET041804,Gawo Kebe,Kelem Wellega,Oromia
Gidami Woreda,Oromia Region,Kelem Wellega Zone,exact_in_cohort,100,ET041809,Gidami,Kelem Wellega,Oromia
Hawa Gelan Woreda,Oromia Region,Kelem Wellega Zone,fuzzy_in_cohort,90,ET041801,Hawa Galan,Kelem Wellega,Oromia
Jimma Horo Woreda,Oromia Region,Kelem Wellega Zone,exact_in_cohort,100,ET041810,Jimma Horo,Kelem Wellega,Oromia
Lalo Kile Woreda,Oromia Region,Kelem Wellega Zone,exact_in_cohort,100,ET041811,Lalo Kile,Kelem Wellega,Oromia
Seyo Woreda,Oromia Region,Kelem Wellega Zone,fuzzy_in_cohort,90,ET040207,Bila Seyo,East Wellega,Oromia
Yemalogi Welel Woreda,Oromia Region,Kelem Wellega Zone,fuzzy_in_cohort,89,ET041802,Yama Logi Welel,Kelem Wellega,Oromia
Aweday Subcity,Oromia Region,Maya Town,exact_in_cohort,100,ET041099,Aweday town,East Hararge,Oromia
Metu Town Health Office,Oromia Region,Metu Town Health Office,exact_in_cohort,100,ET040320,Metu town,Ilu Aba Bora,Oromia
Modjo Town Health Office,Oromia Region,Modjo Town Health Office,fuzzy_in_cohort,88,ET040797,Mojo Town,East Shewa,Oromia
Nedjo Town,Oromia Region,Nedjo Town,fuzzy_in_cohort,88,ET040102,Nejo,West Wellega,Oromia
Nekemte Town,Oromia Region,Nekemte Town,exact_in_cohort,100,ET040297,Nekemte town,East Wellega,Oromia
Abichu Gnea Woreda,Oromia Region,North Shewa Zone,fuzzy_in_cohort,88,ET040609,Abichugna Gne'a,North Shewa (OR),Oromia
Aleltu Woreda,Oromia Region,North Shewa Zone,exact_in_cohort,100,ET040617,Aleltu,North Shewa (OR),Oromia
Debre Libanos Woreda,Oromia Region,North Shewa Zone,exact_in_cohort,100,ET040607,Debre Libanos,North Shewa (OR),Oromia
Degem Woreda,Oromia Region,North Shewa Zone,exact_in_cohort,100,ET040605,Degem,North Shewa (OR),Oromia
Derra Woreda,Oromia Region,North Shewa Zone,fuzzy_in_cohort,88,ET040602,Dera (OR),North Shewa (OR),Oromia
Fitche Town,Oromia Region,North Shewa Zone,fuzzy_in_cohort,90,ET040613,Fiche town,North Shewa (OR),Oromia
Girar Jarso Woreda,Oromia Region,North Shewa Zone,fuzzy_in_cohort,90,ET040606,Gerar Jarso,North Shewa (OR),Oromia
Hidabu Abote Woreda,Oromia Region,North Shewa Zone,exact_in_cohort,100,ET040603,Hidabu Abote,North Shewa (OR),Oromia
Jida Woreda,Oromia Region,North Shewa Zone,exact_in_cohort,100,ET040615,Jida,North Shewa (OR),Oromia
Kimbibit Woreda,Oromia Region,North Shewa Zone,exact_in_cohort,100,ET040610,Kimbibit,North Shewa (OR),Oromia
Kuyu Woreda,Oromia Region,North Shewa Zone,exact_in_cohort,100,ET040604,Kuyu,North Shewa (OR),Oromia
Mulo Woreda,Oromia Region,North Shewa Zone,exact_in_cohort,100,ET042016,Mulo,Finfine Special,Oromia
Sululta Woreda,Oromia Region,North Shewa Zone,exact_in_cohort,100,ET042005,Sululta town,Finfine Special,Oromia
Wuchale Woreda,Oromia Region,North Shewa Zone,exact_in_cohort,100,ET040608,Wuchale,North Shewa (OR),Oromia
Yaya Gulele Woreda,Oromia Region,North Shewa Zone,exact_in_cohort,100,ET040614,Yaya Gulele,North Shewa (OR),Oromia
Goba Sub City,Oromia Region,Robe Town Zonal Health Department,exact_in_cohort,100,ET041110,Goba (OR),Bale,Oromia
Robe Town Woreda,Oromia Region,Robe Town Zonal Health Department,exact_in_cohort,100,ET040812,Robe,Arsi,Oromia
Burayu Sub City,Oromia Region,Shagar City,exact_in_cohort,100,ET042001,Burayu,Finfine Special,Oromia
Kura Jida Sub City,Oromia Region,Shagar City,fuzzy_in_cohort,90,ET040615,Jida,North Shewa (OR),Oromia
Malka Nono Sub City,Oromia Region,Shagar City,fuzzy_in_cohort,90,ET040508,Nono,West Shewa,Oromia
Shakiso Town,Oromia Region,Shakiso Town,exact_in_cohort,100,ET041499,Shakiso town,Guji,Oromia
Bishan Guracha Sub City,Oromia Region,Shashemene Town1,exact_in_cohort,100,ET041798,Bishan Guracha,West Arsi,Oromia
Becho Woreda,Oromia Region,South West Shewa Zone,fuzzy_in_cohort,90,ET040314,Becho (Ilu Aba Bora),Ilu Aba Bora,Oromia
Dawo Woreda,Oromia Region,South West Shewa Zone,exact_in_cohort,100,ET041304,Dawo,South West Shewa,Oromia
Goro Woreda,Oromia Region,South West Shewa Zone,fuzzy_in_cohort,90,ET041010,Goro Gutu,East Hararge,Oromia
Ilu Woreda,Oromia Region,South West Shewa Zone,exact_in_cohort,100,ET041305,Ilu,South West Shewa,Oromia
Saden Sodo Woreda,Oromia Region,South West Shewa Zone,fuzzy_in_cohort,90,ET041310,Seden Sodo,South West Shewa,Oromia
Sebeta Hawas Woreda,Oromia Region,South West Shewa Zone,exact_in_cohort,100,ET042006,Sebeta Hawas,Finfine Special,Oromia
Sebeta Town Woreda,Oromia Region,South West Shewa Zone,exact_in_cohort,100,ET042009,Sebeta town,Finfine Special,Oromia
Sodo Dachi Woreda,Oromia Region,South West Shewa Zone,fuzzy_in_cohort,94,ET041314,Sodo Daci,South West Shewa,Oromia
Tole Woreda,Oromia Region,South West Shewa Zone,exact_in_cohort,100,ET041308,Tole,South West Shewa,Oromia
Woliso Woreda,Oromia Region,South West Shewa Zone,exact_in_cohort,100,ET041311,Woliso town,South West Shewa,Oromia
Adaba Woreda,Oromia Region,West Arsi Zone,exact_in_cohort,100,ET041710,Adaba,West Arsi,Oromia
Arsi Negele Rural Woreda,Oromia Region,West Arsi Zone,fuzzy_in_cohort,90,ET041414,Negele town,Guji,Oromia
Arsi Negele Town,Oromia Region,West Arsi Zone,exact_in_cohort,100,ET041703,Arsi Negele,West Arsi,Oromia
Dodola Rural Woreda,Oromia Region,West Arsi Zone,fuzzy_in_cohort,90,ET041700,Dodola town,West Arsi,Oromia
Gedeb Hasasa Woreda,Oromia Region,West Arsi Zone,fuzzy_in_cohort,95,ET041706,Gedeb Asasa,West Arsi,Oromia
Heben Arsi Woreda,Oromia Region,West Arsi Zone,fuzzy_in_cohort,90,ET041783,Heban Arsi,West Arsi,Oromia
Kofele Town,Oromia Region,West Arsi Zone,exact_in_cohort,100,ET041704,Kofele,West Arsi,Oromia
Kofele Woreda,Oromia Region,West Arsi Zone,exact_in_cohort,100,ET041704,Kofele,West Arsi,Oromia
Kokosa Woreda,Oromia Region,West Arsi Zone,exact_in_cohort,100,ET041708,Kokosa,West Arsi,Oromia
Kore Woreda,Oromia Region,West Arsi Zone,exact_in_cohort,100,ET041705,Kore,West Arsi,Oromia
Shala Woreda,Oromia Region,West Arsi Zone,exact_in_cohort,100,ET041702,Shala,West Arsi,Oromia
Shashemene Zuria Woreda,Oromia Region,West Arsi Zone,exact_in_cohort,100,ET041712,Shashemene Zuria,West Arsi,Oromia
Siraro Woreda,Oromia Region,West Arsi Zone,exact_in_cohort,100,ET041701,Siraro,West Arsi,Oromia
Wondo Woreda,Oromia Region,West Arsi Zone,exact_in_cohort,100,ET041797,Wondo,West Arsi,Oromia
Abaya Woreda,Oromia Region,West Guji Zone,exact_in_cohort,100,ET041513,Abaya,West Guji,Oromia
Birbirsa Kojowa Woreda,Oromia Region,West Guji Zone,exact_in_cohort,100,ET041596,Birbirsa Kojowa,West Guji,Oromia
Bule Hora Woreda,Oromia Region,West Guji Zone,exact_in_cohort,100,ET041501,Bule Hora,West Guji,Oromia
Dugda Dawa Woreda,Oromia Region,West Guji Zone,exact_in_cohort,100,ET041515,Dugda Dawa,West Guji,Oromia
Gelana Woreda,Oromia Region,West Guji Zone,fuzzy_in_cohort,90,ET041517,Gelana (West Guji),West Guji,Oromia
Hambela Wamena Woreda,Oromia Region,West Guji Zone,exact_in_cohort,100,ET041509,Hambela Wamena,West Guji,Oromia
Kercha Town Health Office,Oromia Region,West Guji Zone,exact_in_cohort,100,ET041502,Kercha,West Guji,Oromia
Kercha Woreda,Oromia Region,West Guji Zone,exact_in_cohort,100,ET041502,Kercha,West Guji,Oromia
Melka Soda Woreda,Oromia Region,West Guji Zone,exact_in_cohort,100,ET041518,Melka Soda,West Guji,Oromia
Suro Barguda Woreda,Oromia Region,West Guji Zone,fuzzy_in_cohort,91,ET041594,Suro Berguda,West Guji,Oromia
Anchar Woreda,Oromia Region,West Hararge Zone,exact_in_cohort,100,ET040906,Anchar,West Hararge,Oromia
Bedesa Woreda,Oromia Region,West Hararge Zone,exact_in_cohort,100,ET040914,Bedesa,West Hararge,Oromia
Boke Woreda,Oromia Region,West Hararge Zone,exact_in_cohort,100,ET040910,Boke,West Hararge,Oromia
Burka Dhintu Woreda,Oromia Region,West Hararge Zone,fuzzy_in_cohort,88,ET040998,Burqua Dhintu,West Hararge,Oromia
Chiro Town,Oromia Region,West Hararge Zone,exact_in_cohort,100,ET040905,Chiro town,West Hararge,Oromia
Chiro Zurya Woreda,Oromia Region,West Hararge Zone,fuzzy_in_cohort,90,ET040913,Chiro Zuria,West Hararge,Oromia
Daro Lebu Woreda,Oromia Region,West Hararge Zone,exact_in_cohort,100,ET040909,Daro Lebu,West Hararge,Oromia
Doba Woreda,Oromia Region,West Hararge Zone,exact_in_cohort,100,ET040902,Doba,West Hararge,Oromia
Gemechis Woreda,Oromia Region,West Hararge Zone,exact_in_cohort,100,ET040912,Gemechis,West Hararge,Oromia
Gumbi Bordode Woreda,Oromia Region,West Hararge Zone,fuzzy_in_cohort,92,ET040991,Gumbi Bordede,West Hararge,Oromia
Habro Woreda,Oromia Region,West Hararge Zone,exact_in_cohort,100,ET040908,Habro,West Hararge,Oromia
Hawi Gudina Woreda,Oromia Region,West Hararge Zone,exact_in_cohort,100,ET040915,Hawi Gudina,West Hararge,Oromia
Mesela Woreda,Oromia Region,West Hararge Zone,exact_in_cohort,100,ET040904,Mesela,West Hararge,Oromia
Mieso Woreda,Oromia Region,West Hararge Zone,exact_in_cohort,100,ET040901,Mieso,West Hararge,Oromia
Oda Bultum Woreda,Oromia Region,West Hararge Zone,fuzzy_in_cohort,90,ET040911,Kuni /Oda Bultum,West Hararge,Oromia
Tulo Woreda,Oromia Region,West Hararge Zone,exact_in_cohort,100,ET040903,Tulo (OR),West Hararge,Oromia
Abuna Gindeberet Woreda,Oromia Region,West Shewa Zone Health Office,exact_in_cohort,100,ET040516,Abuna Ginde Beret,West Shewa,Oromia
Ada Berga Woreda,Oromia Region,West Shewa Zone Health Office,fuzzy_in_cohort,94,ET040513,Adda Berga,West Shewa,Oromia
Ambo Woreda,Oromia Region,West Shewa Zone Health Office,exact_in_cohort,100,ET040515,Ambo town,West Shewa,Oromia
Bako Tibe Woreda,Oromia Region,West Shewa Zone Health Office,exact_in_cohort,100,ET040506,Bako Tibe,West Shewa,Oromia
Burayu Town Woreda,Oromia Region,West Shewa Zone Health Office,exact_in_cohort,100,ET042001,Burayu,Finfine Special,Oromia
Chelia Woreda,Oromia Region,West Shewa Zone Health Office,fuzzy_in_cohort,92,ET040505,Cheliya,West Shewa,Oromia
Chobi Woreda,Oromia Region,West Shewa Zone Health Office,fuzzy_in_cohort,88,ET040592,Cobi,West Shewa,Oromia
Dano Woreda,Oromia Region,West Shewa Zone Health Office,exact_in_cohort,100,ET040507,Dano,West Shewa,Oromia
Dendi Woreda,Oromia Region,West Shewa Zone Health Office,exact_in_cohort,100,ET040510,Dendi,West Shewa,Oromia
Dire Enchini Woreda,Oromia Region,West Shewa Zone Health Office,fuzzy_in_cohort,90,ET041211,Dire,Borena,Oromia
Ejere Woreda,Oromia Region,West Shewa Zone Health Office,fuzzy_in_cohort,90,ET040511,Ejere /Addis Alem,West Shewa,Oromia
Ejersa Lafo Woreda,Oromia Region,West Shewa Zone Health Office,exact_in_cohort,100,ET040590,Ejersa Lafo,West Shewa,Oromia
Gindebert Woreda,Oromia Region,West Shewa Zone Health Office,fuzzy_in_cohort,94,ET040501,Ginde Beret,West Shewa,Oromia
Ilu Galan Woreda,Oromia Region,West Shewa Zone Health Office,fuzzy_in_cohort,94,ET040500,Illu Galan,West Shewa,Oromia
Jeldu Woreda,Oromia Region,West Shewa Zone Health Office,exact_in_cohort,100,ET040502,Jeldu,West Shewa,Oromia
Jibat Woreda,Oromia Region,West Shewa Zone Health Office,exact_in_cohort,100,ET040518,Jibat,West Shewa,Oromia
Liban Jawi Woreda,Oromia Region,West Shewa Zone Health Office,exact_in_cohort,100,ET040597,Liban Jawi,West Shewa,Oromia
Meta Robi Woreda,Oromia Region,West Shewa Zone Health Office,exact_in_cohort,100,ET040514,Meta Robi,West Shewa,Oromia
Meta Welkite Woreda,Oromia Region,West Shewa Zone Health Office,fuzzy_in_cohort,91,ET040594,Meta Walkite,West Shewa,Oromia
Mida Kegni Woreda,Oromia Region,West Shewa Zone Health Office,fuzzy_in_cohort,94,ET040504,Mida Kegn,West Shewa,Oromia
Nonoo Woreda,Oromia Region,West Shewa Zone Health Office,fuzzy_in_cohort,88,ET040508,Nono,West Shewa,Oromia
Toke Kutaye Woreda,Oromia Region,West Shewa Zone Health Office,exact_in_cohort,100,ET040517,Toke Kutaye,West Shewa,Oromia
Ayira Woreda,Oromia Region,West Wollega Zone,exact_in_cohort,100,ET040107,Ayira,West Wellega,Oromia
Babo Gembel Woreda,Oromia Region,West Wollega Zone,fuzzy_in_cohort,90,ET040111,Babo,West Wellega,Oromia
Begi Woreda,Oromia Region,West Wollega Zone,exact_in_cohort,100,ET040116,Begi,West Wellega,Oromia
Boji Dirmeji Woreda,Oromia Region,West Wollega Zone,exact_in_cohort,100,ET040106,Boji Dirmeji,West Wellega,Oromia
Ganji Woreda,Oromia Region,West Wollega Zone,fuzzy_in_cohort,88,ET040113,Gaji,West Wellega,Oromia
Gimbi Rural Woreda,Oromia Region,West Wollega Zone,fuzzy_in_cohort,90,ET040103,Gimbi,West Wellega,Oromia
Gimbi Town Woreda,Oromia Region,West Wollega Zone,exact_in_cohort,100,ET040103,Gimbi,West Wellega,Oromia
